"Step","train-PMAES_8_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_8_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_8_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX","train-PMAES_7_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_7_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_7_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX","train-PMAES_6_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_6_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_6_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX","train-PMAES_5_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_5_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_5_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX","train-PMAES_4_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_4_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_4_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX","train-PMAES_3_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_3_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_3_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX","train-PMAES_2_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_2_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_2_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX","train-PMAES_1_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]","train-PMAES_1_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MIN","train-PMAES_1_features_model_seed12_dev30_lambda0.5_otFalse - QWK[High]__MAX"
"0","36.973613595576815","36.973613595576815","36.973613595576815","67.68632582484344","67.68632582484344","67.68632582484344","56.44316783892482","56.44316783892482","56.44316783892482","71.63196559977476","71.63196559977476","71.63196559977476","58.66783659717354","58.66783659717354","58.66783659717354","58.986537871409304","58.986537871409304","58.986537871409304","61.24619636005866","61.24619636005866","61.24619636005866","72.7861204716169","72.7861204716169","72.7861204716169"
"1","33.29232001120109","33.29232001120109","33.29232001120109","66.47994412621073","66.47994412621073","66.47994412621073","51.963364827706826","51.963364827706826","51.963364827706826","65.65234642997457","65.65234642997457","65.65234642997457","57.05809386154355","57.05809386154355","57.05809386154355","58.32909826698396","58.32909826698396","58.32909826698396","61.63462001610169","61.63462001610169","61.63462001610169","70.43581120430431","70.43581120430431","70.43581120430431"
"2","33.230991218150585","33.230991218150585","33.230991218150585","66.20309566264378","66.20309566264378","66.20309566264378","48.05370794036287","48.05370794036287","48.05370794036287","59.21496137750957","59.21496137750957","59.21496137750957","51.76281786334263","51.76281786334263","51.76281786334263","58.433393288286105","58.433393288286105","58.433393288286105","61.014815492805965","61.014815492805965","61.014815492805965","68.61831173518517","68.61831173518517","68.61831173518517"
"3","30.26586670193564","30.26586670193564","30.26586670193564","68.09128083366309","68.09128083366309","68.09128083366309","44.16899176582192","44.16899176582192","44.16899176582192","56.10323559644297","56.10323559644297","56.10323559644297","46.83990723764057","46.83990723764057","46.83990723764057","58.69087520319391","58.69087520319391","58.69087520319391","61.031224405257454","61.031224405257454","61.031224405257454","63.96604333755316","63.96604333755316","63.96604333755316"
"4","27.850150718815392","27.850150718815392","27.850150718815392","68.24939884524952","68.24939884524952","68.24939884524952","41.6425967481849","41.6425967481849","41.6425967481849","54.953097894759395","54.953097894759395","54.953097894759395","43.60513735532498","43.60513735532498","43.60513735532498","60.6327764126565","60.6327764126565","60.6327764126565","59.76843410317603","59.76843410317603","59.76843410317603","59.65543509172304","59.65543509172304","59.65543509172304"
"5","26.475503254983668","26.475503254983668","26.475503254983668","69.11064057032532","69.11064057032532","69.11064057032532","41.11140314526156","41.11140314526156","41.11140314526156","54.56041718770901","54.56041718770901","54.56041718770901","47.10375828533311","47.10375828533311","47.10375828533311","60.65514884530765","60.65514884530765","60.65514884530765","62.867988232274364","62.867988232274364","62.867988232274364","57.774984669271134","57.774984669271134","57.774984669271134"
"6","24.603918360126475","24.603918360126475","24.603918360126475","69.54173200906081","69.54173200906081","69.54173200906081","41.57023214498571","41.57023214498571","41.57023214498571","55.41916909884203","55.41916909884203","55.41916909884203","48.986820896717454","48.986820896717454","48.986820896717454","61.568621710181205","61.568621710181205","61.568621710181205","62.147689843361796","62.147689843361796","62.147689843361796","52.400911278868","52.400911278868","52.400911278868"
"7","21.939375690457307","21.939375690457307","21.939375690457307","69.4740751094764","69.4740751094764","69.4740751094764","40.13583645252279","40.13583645252279","40.13583645252279","55.68631022713687","55.68631022713687","55.68631022713687","49.56876627204579","49.56876627204579","49.56876627204579","60.24483572620953","60.24483572620953","60.24483572620953","62.48711898866042","62.48711898866042","62.48711898866042","45.20528045716481","45.20528045716481","45.20528045716481"
"8","18.717924455209513","18.717924455209513","18.717924455209513","68.57364770723132","68.57364770723132","68.57364770723132","35.16443461459454","35.16443461459454","35.16443461459454","55.18398513791355","55.18398513791355","55.18398513791355","39.1183363296155","39.1183363296155","39.1183363296155","57.558559536906316","57.558559536906316","57.558559536906316","58.926843322027686","58.926843322027686","58.926843322027686","47.39950973209213","47.39950973209213","47.39950973209213"
"9","17.83789316617045","17.83789316617045","17.83789316617045","64.48913135927874","64.48913135927874","64.48913135927874","32.413153956594066","32.413153956594066","32.413153956594066","54.92089455551148","54.92089455551148","54.92089455551148","18.713396375076343","18.713396375076343","18.713396375076343","36.768356153415006","36.768356153415006","36.768356153415006","36.12096421321434","36.12096421321434","36.12096421321434","51.382432786842244","51.382432786842244","51.382432786842244"
