"Step","train-PMAES_8_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_8_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_8_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX","train-PMAES_7_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_7_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_7_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX","train-PMAES_6_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_6_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_6_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX","train-PMAES_5_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_5_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_5_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX","train-PMAES_4_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_4_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_4_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX","train-PMAES_3_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_3_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_3_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX","train-PMAES_2_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_2_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_2_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX","train-PMAES_1_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]","train-PMAES_1_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MIN","train-PMAES_1_features_model_seed12_dev30_lambda0.5_otFalse - QWK[Low]__MAX"
"0","36.973613595576815","36.973613595576815","36.973613595576815","67.68632582484344","67.68632582484344","67.68632582484344","56.44316783892482","56.44316783892482","56.44316783892482","71.63196559977476","71.63196559977476","71.63196559977476","58.66783659717354","58.66783659717354","58.66783659717354","58.986537871409304","58.986537871409304","58.986537871409304","61.24619636005866","61.24619636005866","61.24619636005866","72.7861204716169","72.7861204716169","72.7861204716169"
"1","37.08436560573214","37.08436560573214","37.08436560573214","67.50576479631053","67.50576479631053","67.50576479631053","58.325118541223134","58.325118541223134","58.325118541223134","72.8888669728825","72.8888669728825","72.8888669728825","60.569637967974785","60.569637967974785","60.569637967974785","58.83985605160047","58.83985605160047","58.83985605160047","62.420344750855364","62.420344750855364","62.420344750855364","73.13993249508898","73.13993249508898","73.13993249508898"
"2","38.937502606510286","38.937502606510286","38.937502606510286","67.29628662317766","67.29628662317766","67.29628662317766","59.39211501992139","59.39211501992139","59.39211501992139","72.78458027650258","72.78458027650258","72.78458027650258","61.65765850665483","61.65765850665483","61.65765850665483","58.14134063959357","58.14134063959357","58.14134063959357","57.48448546293561","57.48448546293561","57.48448546293561","75.0859267164463","75.0859267164463","75.0859267164463"
"3","40.74009345380739","40.74009345380739","40.74009345380739","65.43808961653565","65.43808961653565","65.43808961653565","61.055894475610614","61.055894475610614","61.055894475610614","73.11590951326446","73.11590951326446","73.11590951326446","62.633138386925545","62.633138386925545","62.633138386925545","56.15723959650454","56.15723959650454","56.15723959650454","48.52284040001811","48.52284040001811","48.52284040001811","74.85471024993026","74.85471024993026","74.85471024993026"
"4","43.98500089479814","43.98500089479814","43.98500089479814","60.598701219176775","60.598701219176775","60.598701219176775","61.80684832878205","61.80684832878205","61.80684832878205","74.41318002011084","74.41318002011084","74.41318002011084","64.24731586724052","64.24731586724052","64.24731586724052","55.82428093188495","55.82428093188495","55.82428093188495","38.617289813656086","38.617289813656086","38.617289813656086","75.1132307125947","75.1132307125947","75.1132307125947"
"5","44.056367106160046","44.056367106160046","44.056367106160046","59.49589091001987","59.49589091001987","59.49589091001987","62.408960514990454","62.408960514990454","62.408960514990454","75.06119652160324","75.06119652160324","75.06119652160324","64.8848658475664","64.8848658475664","64.8848658475664","54.80394385161359","54.80394385161359","54.80394385161359","29.739241052878395","29.739241052878395","29.739241052878395","72.57157951435576","72.57157951435576","72.57157951435576"
"6","43.36575706252271","43.36575706252271","43.36575706252271","54.675037270005646","54.675037270005646","54.675037270005646","63.22233430178126","63.22233430178126","63.22233430178126","75.42990053619225","75.42990053619225","75.42990053619225","65.95313648826621","65.95313648826621","65.95313648826621","54.248242052236975","54.248242052236975","54.248242052236975","23.628267228011","23.628267228011","23.628267228011","72.08901257011642","72.08901257011642","72.08901257011642"
"7","47.23181272937386","47.23181272937386","47.23181272937386","53.372181132113994","53.372181132113994","53.372181132113994","63.955371801668235","63.955371801668235","63.955371801668235","75.21942033980267","75.21942033980267","75.21942033980267","65.87275986376768","65.87275986376768","65.87275986376768","53.486341810830055","53.486341810830055","53.486341810830055","20.50227288207186","20.50227288207186","20.50227288207186","70.51014236122539","70.51014236122539","70.51014236122539"
"8","51.34716332556092","51.34716332556092","51.34716332556092","51.71142932603294","51.71142932603294","51.71142932603294","63.803265473756454","63.803265473756454","63.803265473756454","72.58382770441057","72.58382770441057","72.58382770441057","64.48232293346767","64.48232293346767","64.48232293346767","55.01807294593212","55.01807294593212","55.01807294593212","14.645921023037644","14.645921023037644","14.645921023037644","66.38572346235323","66.38572346235323","66.38572346235323"
"9","49.731163085893634","49.731163085893634","49.731163085893634","50.88251393210721","50.88251393210721","50.88251393210721","64.48320078832172","64.48320078832172","64.48320078832172","72.45857148499432","72.45857148499432","72.45857148499432","62.258214187600146","62.258214187600146","62.258214187600146","50.95109604620567","50.95109604620567","50.95109604620567","14.187283304168197","14.187283304168197","14.187283304168197","46.13558050137429","46.13558050137429","46.13558050137429"
