Step,train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_8_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_7_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_6_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_5_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_4_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_3_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_2_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_1_seed22_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_8_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_7_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_6_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_5_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_4_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_3_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_2_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_1_seed32_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[High],train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]
0,0.3925819789918452,0.5571656929074946,0.5772933654825548,0.7120294933337523,0.5935932664603565,0.5629108019938807,0.5200104300210773,0.5534707883131589,0.48881595430164737,0.583738317083355,0.47013103954882596,0.6470963664999727,0.6141922553628314,0.5389018653156561,0.48143051833905015,0.6369648953898859,0.3605796975607938,0.7091355812145888,0.6054824662533845,0.6504859399829577,0.6036567582096004,0.5437984852832108,0.41179341604251973,0.6193519361198366,0.5787954545692379,0.6220072835811465,0.5650543098066547,0.538778353092698,0.5558379711432162,0.54334747513428,0.4978739853111712,0.5655476448154014,0.4151547490205244,0.608571842056986,0.5743015736067738,0.5601801767062766,0.6368856515914572,0.5494227958357778,0.5176322048716377,0.5976997496409958
1,0.5044975559887719,0.65947611513384,0.5709119241754801,0.6484703910171967,0.6020786958052374,0.5236880399168293,0.4797169550737914,0.5161023949939757,0.45755047084593736,0.6021650635391171,0.5572834934344604,0.6441074329118706,0.6152310970799273,0.5867178924259056,0.4538882507938652,0.581006582394004,0.34972152224659003,0.7323527588139818,0.6024253224829622,0.6605078065879919,0.6398305949296766,0.5481906158997039,0.48796126141835794,0.652147889690988,0.42726567498303414,0.5744953391349823,0.5582144656049932,0.6125657549186536,0.6497207988470913,0.5612274252836822,0.4754774885239188,0.6491874680856835,0.45378615005861234,0.6450945868533337,0.6008512228504737,0.7015847640845798,0.6031497017421348,0.5138991111362736,0.5233834117497281,0.5438377987541316
2,0.39145673198345865,0.6204075117872088,0.579205206607367,0.7217049247066856,0.6139097227689216,0.537863556535594,0.35465574340801587,0.5332705896128893,0.4945384344579201,0.593438065983519,0.5084415932205407,0.6658781578716336,0.5685808971374431,0.5698626335507146,0.5088453941461664,0.5097497963319797,0.3695220780628037,0.655085116565256,0.5611942642198953,0.7167065007417208,0.6545141129746512,0.5777091293076144,0.44427398378130256,0.5241895408257353,0.510484186428941,0.6295817591525027,0.5870315755054496,0.6462762408553304,0.6092962976086553,0.527319085606732,0.4905192483087194,0.559876797870501,0.42903008988696856,0.5686711371750439,0.5716687885405901,0.6469111221317365,0.6506943287237059,0.6464352644794955,0.5419391340872524,0.5274178336458129
3,0.40153743996152336,0.5489559694429795,0.541391767648554,0.6952048570646119,0.5679778029913654,0.5263687086568881,0.296039030796155,0.47409027990494257,0.4734640098900962,0.650932750014221,0.5368205113335701,0.6351669726158835,0.6395838587167222,0.6365281458023654,0.47767666554319754,0.4665702596854946,0.46514718113736875,0.6412960285738583,0.4881856933943184,0.7201694024570391,0.630762237016746,0.6296751096083502,0.5017578885971241,0.6484565725700026,0.27668165853456084,0.6282978954519068,0.5796942163502758,0.6075312042003482,0.6669922593426351,0.534576156417961,0.4242303124298976,0.6199107607360212,0.33047961282889804,0.6288701965815522,0.5469562574687823,0.6258577049971101,0.5819254038152473,0.5683403138719281,0.566371884796058,0.5542248067824722
4,0.33711924476788035,0.5385905698397346,0.5259828538135005,0.5992850649780022,0.5572944589411524,0.4977513606338959,0.22083406933238758,0.3996562452360657,0.5503855592000995,0.6458763670863306,0.46986459045779017,0.6114043832231,0.6160732193885804,0.6204778156996587,0.48568402567189584,0.40313065623948496,0.5802723950398135,0.6536711400929239,0.547219676035889,0.7456234536549433,0.6722918460647516,0.6363500664437328,0.5062547055076156,0.6207401226114446,0.36511349147826655,0.617085228278822,0.6109438943165313,0.6450932325614775,0.6019344020664286,0.5349352140396917,0.5552314974160173,0.6326140232273645,0.41715127638819327,0.6120832170810873,0.5253053567065078,0.511426744204314,0.564820953105472,0.5313091039206665,0.5344469840855661,0.4441293072345268
5,0.2806027202561877,0.6587756743745263,0.5357847083950034,0.7181705875373445,0.48222383322677875,0.5070515118919565,0.145370703183217,0.33909889535917503,0.4155331315450913,0.6441298294018829,0.4877465289711407,0.6501955406183066,0.6342107097176216,0.6205809351311464,0.4313393696501905,0.5552149368514028,0.4771176078610856,0.6168592067528814,0.5461972307398174,0.7456297477622726,0.6453116298658118,0.6229034347418385,0.537070323544856,0.6086250238259763,0.3001088158675119,0.641687877302775,0.6318465909410313,0.6140787156223065,0.6593135202715956,0.5069072455596279,0.5646188507571955,0.6866119027074706,0.3076082551726588,0.620696834252104,0.47257963944947623,0.5358771998154728,0.504842109591529,0.5098633995489329,0.4636076332505886,0.22733881619582763
6,0.3216891721575994,0.6874817421641667,0.5440121286209764,0.6452074332044615,0.3668733626009223,0.46747174257207036,0.124464619549569,0.354478402495473,0.34684965629170006,0.6048575450141294,0.4496038189710925,0.7453454061821261,0.6282307225620011,0.6639847956921128,0.38370103556956336,0.28685355980643557,0.48909302282007516,0.639867526604745,0.5681832691984005,0.7770803269093607,0.5923040426480739,0.6250872139210688,0.5570861178511881,0.6640273640550951,0.23072374455265265,0.5632453542121783,0.5826456860626269,0.675369304911135,0.6370700748938956,0.5172446040474321,0.49647203981388055,0.6296746873545318,0.25202975647544346,0.6580036917276091,0.42551309585837926,0.5280520940943101,0.3479555265544292,0.4572425121164805,0.4278414094847812,0.21185303479293505
7,0.20780031549082234,0.5995104535783866,0.5210244999239559,0.7047756901170941,0.26658802354798505,0.29505915100904667,0.08891009922474469,0.37914754981919563,0.4851953750983624,0.5908928549819683,0.44849945193484575,0.744666518524623,0.6236986840284311,0.6758933669942596,0.487317846157033,0.31881072229512786,0.5522709448625787,0.6197424022604741,0.556776997597745,0.790330449808207,0.5196878941550287,0.6682314152270447,0.6132280608847058,0.6441155471953266,0.3034800496251663,0.5428019297587166,0.6081792769000294,0.6059385693776984,0.6528174235001838,0.46374151795416685,0.449940377368646,0.7035739503458041,0.32685337920386826,0.678297043709611,0.268464089456104,0.6356700425520015,0.10221990989601426,0.4319709355131698,0.2387938004373351,0.09963459816226283
8,0.36587840096357616,0.5155147495797752,0.5380182287044674,0.667499631348097,0.12091271369350198,0.30326472594998966,0.05019849262041165,0.14800093293733674,0.42653310801294886,0.6087798374663023,0.3955221170689026,0.7201212008901503,0.6042778943204479,0.6789986254496534,0.39663494115316855,0.06950882100143074,0.4968350902007257,0.5936280457972058,0.46076016251454843,0.7851615343880538,0.5354966778384109,0.6531887723556687,0.6333408807334145,0.6381353305168285,0.282582773113665,0.4974834975304673,0.5835084319077548,0.48341075020549773,0.6383162150161562,0.4254852037627114,0.49462123679368475,0.710967129538713,0.10103917696677644,0.607943013722892,0.23872077198505004,0.5650723437530356,-0.06553402180680057,0.2789115646258503,0.12843424006628745,-0.044785770800850555
9,0.27030583911776307,0.6815698863108866,0.390026718694681,0.271056481350601,-0.10126586155931472,0.09780944992594232,0.020271361204367233,0.4536353538496014,0.29230553602093934,0.6374612092925807,0.4622096518949287,0.7397911133027413,0.5362598198117245,0.66756957880637,0.46523309224458065,0.18504318513945306,0.44174009384864077,0.6398782220726289,0.6231447259191109,0.7714532261513316,0.511923724615321,0.6072962321159956,0.528871103314695,0.5901986869368714,0.03148218858888718,0.31865784159154187,0.6201740640752138,0.07901573550067875,0.6412176862474832,0.04690123897549814,0.32990139901362403,0.7193292635345145,0.08085509309074523,0.35670605933673893,0.04805199643774405,0.22460641837692197,-0.008066075892395608,0.14877627614399236,0.014432847477010569,0.016510217957738882
