Step,train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_8_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_7_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_6_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_5_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_4_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_3_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_2_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_1_seed22_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_8_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_7_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_6_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_5_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_4_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_3_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_2_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_1_seed32_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low],train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]
0,0.3925819789918452,0.5571656929074946,0.5772933654825548,0.7120294933337523,0.5935932664603565,0.5629108019938807,0.5200104300210773,0.5534707883131589,0.48881595430164737,0.583738317083355,0.47013103954882596,0.6470963664999727,0.6141922553628314,0.5389018653156561,0.48143051833905015,0.6369648953898859,0.3605796975607938,0.7091355812145888,0.6054824662533845,0.6504859399829577,0.6036567582096004,0.5437984852832108,0.41179341604251973,0.6193519361198366,0.5787954545692379,0.6220072835811465,0.5650543098066547,0.538778353092698,0.5558379711432162,0.54334747513428,0.4978739853111712,0.5655476448154014,0.4151547490205244,0.608571842056986,0.5743015736067738,0.5601801767062766,0.6368856515914572,0.5494227958357778,0.5176322048716377,0.5976997496409958
1,0.49701164314262736,0.6079882642780793,0.5572100979320422,0.7105561073890976,0.6115053754944804,0.5384612574768276,0.4976336571896226,0.5680044872284449,0.5040292419020203,0.5896829720432473,0.575820128171471,0.5781477086768015,0.6166219164850573,0.5549729850698552,0.41199352622164165,0.6441765554769864,0.4145682517229269,0.5589654328459862,0.5738085424846526,0.6245494180962374,0.5978759321116076,0.5449243628791924,0.39889852030348616,0.5650345815684248,0.44299865913946923,0.6198649862444217,0.5545485720575721,0.684318261113855,0.585982290823849,0.5669098545849051,0.4589749891325554,0.5665742416914635,0.43609237325768313,0.6357205137310136,0.6432632735878905,0.7281607563053774,0.6240324838623201,0.5377018815502235,0.4759321312696134,0.5093694551164987
2,0.5053274159675074,0.6688135054938087,0.5398361198314979,0.6981679916011223,0.6527196940516151,0.626022182703776,0.47929309018004107,0.5215527020411226,0.4150864543368219,0.5217381447871396,0.5591921700575293,0.48238805430389875,0.6042785578497029,0.5260753111706318,0.4345293554251014,0.6636220378338591,0.3729870198946992,0.5502672108308013,0.5700720434324877,0.47559503458528507,0.6180779972562462,0.5641166225891763,0.3358996718452395,0.6487528043658003,0.4826591272760733,0.5903677986107101,0.5321576518588571,0.7129676320172282,0.5983461328854505,0.641582506628534,0.40921050830927064,0.5251738823198847,0.3931837287792349,0.69529463191501,0.5497950951087547,0.694924965827874,0.6409635828026161,0.6396654767157355,0.48368093445426574,0.6972246930424224
3,0.4563544043949397,0.6292687685084912,0.5667081837150678,0.6868530431733083,0.640272389680479,0.6298447602254261,0.4672936663091515,0.6119853950939866,0.40249619702332373,0.5513820277648711,0.5031238223177045,0.6814328469700172,0.6501171819631038,0.5309594586047688,0.37524245206647944,0.5717376982456055,0.2744031035761487,0.5424678679741167,0.5136985846456301,0.6077547939234601,0.527105770574263,0.5129610097186947,0.3039164556014422,0.5223700068408881,0.3851682266220413,0.551942320067172,0.5563167778809764,0.7130845694711205,0.5903168777210007,0.6273793117222921,0.28411839365580993,0.6473374238727713,0.4301215395250977,0.6501198532401268,0.5661563115782493,0.6930503380347474,0.6195706326883441,0.6235357864144624,0.5462339645384249,0.6211750397942913
4,0.49030449529744335,0.6095468572040892,0.5078907312310786,0.7213978669834928,0.6761363449057624,0.6267579744552589,0.5554785090161121,0.6675959699319336,0.3634860420668995,0.5743438539287693,0.4650792597996949,0.6782860147307903,0.5630570315619834,0.5215380871258214,0.2490855203971193,0.6293068049859916,0.22585762649415086,0.46763484608210826,0.5478910336285563,0.48762422965836494,0.5598989506919823,0.5134704190768744,0.22206808267246503,0.48520627203984057,0.5680298990055865,0.6367679919520145,0.5412137420040595,0.7286218031472,0.5757591941984962,0.657890618887411,0.2220268463956926,0.54636819991897,0.3788869669203693,0.6377580095091084,0.6312471463407382,0.735870633176646,0.6493433457774836,0.6107129124806515,0.5246332024405451,0.7343959576247842
5,0.5252647399118862,0.6019167056959147,0.5567833318208205,0.7161224188273857,0.6910278819365882,0.6568888433217015,0.5120691693445247,0.719662552695645,0.4352603289288589,0.5718061507459882,0.49575492440044644,0.7122459862144328,0.568462364401182,0.5159884146163073,0.18927955173757327,0.6538288850762354,0.18702420475674608,0.5575095581773347,0.5262815152479409,0.5359205444045012,0.557387670351491,0.4966934476395686,0.16283135262710768,0.3465570791132282,0.5850718875206903,0.6101562485023254,0.38646980776455564,0.7134299868063279,0.5341814148353966,0.6883160113917964,0.15221884319828105,0.6061241617306046,0.33463999402252853,0.6469999790741021,0.6066146156743386,0.7275574145184066,0.6554075042142546,0.6077144952334392,0.49412752350728417,0.6385878960492408
6,0.523497714694759,0.5690797731264745,0.547609129761669,0.6976889485761042,0.6474792966066101,0.6415880661953228,0.49960115155046536,0.6499477005120778,0.35471294437252177,0.49681814864188045,0.5582083621640508,0.6518622997468613,0.5659482113848875,0.29689697196962594,0.09709535364851918,0.6786613536786901,0.2439768039903658,0.3919969690277224,0.5826820365825995,0.44519231917214375,0.33095228051156134,0.4979240395661564,0.10945298638371881,0.34901784591053686,0.5672380971958702,0.7141906374260835,0.31995234239957915,0.7299977591019786,0.4654543488007369,0.6932570950421867,0.13430131324633887,0.5110076260587967,0.5044991261580338,0.6271382727704825,0.6377991290180701,0.7453080020460114,0.6401613796638475,0.5848009456833163,0.45434894769233525,0.6959497709711266
7,0.5083852691743662,0.602707793498792,0.5879564405047677,0.7253235921046932,0.6671911243753502,0.6549507576232163,0.46392284109748905,0.7443855965007025,0.19904514185449207,0.7344474256906468,0.5517999938893812,0.618973249793143,0.4312560888560274,0.25267247716055863,0.07750045377966497,0.743333863823789,0.15095311811535128,0.4906754337078507,0.5552045658161064,0.31172887479804756,0.3177119499964386,0.40633074139340397,0.08776064789259119,0.41969723394607417,0.48469546514153716,0.6466154856224976,0.2953323388752379,0.7266061239774102,0.3787255351853316,0.6973613591771735,0.05362705034960957,0.6076584060873236,0.42961558857353477,0.6624940026048671,0.591325276150167,0.7433492676596377,0.6052106796074718,0.5482263458133892,0.43947825995735657,0.7140224029896893
8,0.3690579603430294,0.5726630320909789,0.5745899883398105,0.6594062987455942,0.6540999210702656,0.6521613866275362,0.5515905335779311,0.7746505472173271,0.056689415975794466,0.588012801825458,0.514058592770162,0.6421323381780019,0.32053374665830103,0.1954385175181934,0.03023602461752317,0.7680285376216335,0.03150046863710165,0.5486207619068331,0.6126572550994045,0.21622691060127575,0.0,0.2534460983122767,0.034892559643944776,0.3689635261255638,0.4666753997212292,0.5235729363282906,0.0033226308076119704,0.7044017655516028,0.2700201437943175,0.6855059252506837,0.0340214563144986,0.6124148761357197,0.4624679341180983,0.6402238424412909,0.6395392255008863,0.6796173624624406,0.6035849083026327,0.5021307230524494,0.4782938228978062,0.7737239792267381
9,0.444553809097021,0.5062248593333862,0.5364524792625142,0.6413523106139071,0.6531289757315346,0.636077685572992,0.5714034135102215,0.7731655526141936,0.024336917872239572,0.6261118588824963,0.4602821756057659,0.07067174585103775,0.0016974097391736498,0.1002000363702491,-0.008176242649781784,0.7892761158292857,0.014454303364387022,0.5179699155691992,0.5240591970855457,0.002688153604857857,0.04231281573289214,0.0,0.017249391215554577,0.20696634557327198,0.4015097602502665,0.05676256669223878,-0.15533929007045044,0.7006480645473112,0.0,0.6731334560394986,0.007842825441113921,0.4601305470612652,0.31452672271145465,0.5706165894741446,0.5630745974284834,0.6857895389369917,0.5176279247218201,0.48401815342572707,0.43835254756114417,0.7686271804336973
