"Step","train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.5787954545692379","0.5787954545692379","0.5787954545692379","0.6220072835811465","0.6220072835811465","0.6220072835811465","0.5650543098066547","0.5650543098066547","0.5650543098066547","0.538778353092698","0.538778353092698","0.538778353092698","0.5558379711432162","0.5558379711432162","0.5558379711432162","0.54334747513428","0.54334747513428","0.54334747513428","0.4978739853111712","0.4978739853111712","0.4978739853111712","0.5655476448154014","0.5655476448154014","0.5655476448154014"
"1","0.42726567498303414","0.42726567498303414","0.42726567498303414","0.5744953391349823","0.5744953391349823","0.5744953391349823","0.5582144656049932","0.5582144656049932","0.5582144656049932","0.6125657549186536","0.6125657549186536","0.6125657549186536","0.6497207988470913","0.6497207988470913","0.6497207988470913","0.5612274252836822","0.5612274252836822","0.5612274252836822","0.4754774885239188","0.4754774885239188","0.4754774885239188","0.6491874680856835","0.6491874680856835","0.6491874680856835"
"2","0.510484186428941","0.510484186428941","0.510484186428941","0.6295817591525027","0.6295817591525027","0.6295817591525027","0.5870315755054496","0.5870315755054496","0.5870315755054496","0.6462762408553304","0.6462762408553304","0.6462762408553304","0.6092962976086553","0.6092962976086553","0.6092962976086553","0.527319085606732","0.527319085606732","0.527319085606732","0.4905192483087194","0.4905192483087194","0.4905192483087194","0.559876797870501","0.559876797870501","0.559876797870501"
"3","0.27668165853456084","0.27668165853456084","0.27668165853456084","0.6282978954519068","0.6282978954519068","0.6282978954519068","0.5796942163502758","0.5796942163502758","0.5796942163502758","0.6075312042003482","0.6075312042003482","0.6075312042003482","0.6669922593426351","0.6669922593426351","0.6669922593426351","0.534576156417961","0.534576156417961","0.534576156417961","0.4242303124298976","0.4242303124298976","0.4242303124298976","0.6199107607360212","0.6199107607360212","0.6199107607360212"
"4","0.36511349147826655","0.36511349147826655","0.36511349147826655","0.617085228278822","0.617085228278822","0.617085228278822","0.6109438943165313","0.6109438943165313","0.6109438943165313","0.6450932325614775","0.6450932325614775","0.6450932325614775","0.6019344020664286","0.6019344020664286","0.6019344020664286","0.5349352140396917","0.5349352140396917","0.5349352140396917","0.5552314974160173","0.5552314974160173","0.5552314974160173","0.6326140232273645","0.6326140232273645","0.6326140232273645"
"5","0.3001088158675119","0.3001088158675119","0.3001088158675119","0.641687877302775","0.641687877302775","0.641687877302775","0.6318465909410313","0.6318465909410313","0.6318465909410313","0.6140787156223065","0.6140787156223065","0.6140787156223065","0.6593135202715956","0.6593135202715956","0.6593135202715956","0.5069072455596279","0.5069072455596279","0.5069072455596279","0.5646188507571955","0.5646188507571955","0.5646188507571955","0.6866119027074706","0.6866119027074706","0.6866119027074706"
"6","0.23072374455265265","0.23072374455265265","0.23072374455265265","0.5632453542121783","0.5632453542121783","0.5632453542121783","0.5826456860626269","0.5826456860626269","0.5826456860626269","0.675369304911135","0.675369304911135","0.675369304911135","0.6370700748938956","0.6370700748938956","0.6370700748938956","0.5172446040474321","0.5172446040474321","0.5172446040474321","0.49647203981388055","0.49647203981388055","0.49647203981388055","0.6296746873545318","0.6296746873545318","0.6296746873545318"
"7","0.3034800496251663","0.3034800496251663","0.3034800496251663","0.5428019297587166","0.5428019297587166","0.5428019297587166","0.6081792769000294","0.6081792769000294","0.6081792769000294","0.6059385693776984","0.6059385693776984","0.6059385693776984","0.6528174235001838","0.6528174235001838","0.6528174235001838","0.46374151795416685","0.46374151795416685","0.46374151795416685","0.449940377368646","0.449940377368646","0.449940377368646","0.7035739503458041","0.7035739503458041","0.7035739503458041"
"8","0.282582773113665","0.282582773113665","0.282582773113665","0.4974834975304673","0.4974834975304673","0.4974834975304673","0.5835084319077548","0.5835084319077548","0.5835084319077548","0.48341075020549773","0.48341075020549773","0.48341075020549773","0.6383162150161562","0.6383162150161562","0.6383162150161562","0.4254852037627114","0.4254852037627114","0.4254852037627114","0.49462123679368475","0.49462123679368475","0.49462123679368475","0.710967129538713","0.710967129538713","0.710967129538713"
"9","0.03148218858888718","0.03148218858888718","0.03148218858888718","0.31865784159154187","0.31865784159154187","0.31865784159154187","0.6201740640752138","0.6201740640752138","0.6201740640752138","0.07901573550067875","0.07901573550067875","0.07901573550067875","0.6412176862474832","0.6412176862474832","0.6412176862474832","0.04690123897549814","0.04690123897549814","0.04690123897549814","0.32990139901362403","0.32990139901362403","0.32990139901362403","0.7193292635345145","0.7193292635345145","0.7193292635345145"
