"Step","train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.3925819789918452","0.3925819789918452","0.3925819789918452","0.5571656929074946","0.5571656929074946","0.5571656929074946","0.5772933654825548","0.5772933654825548","0.5772933654825548","0.7120294933337523","0.7120294933337523","0.7120294933337523","0.5935932664603565","0.5935932664603565","0.5935932664603565","0.5629108019938807","0.5629108019938807","0.5629108019938807","0.5200104300210773","0.5200104300210773","0.5200104300210773","0.5534707883131589","0.5534707883131589","0.5534707883131589"
"1","0.49701164314262736","0.49701164314262736","0.49701164314262736","0.6079882642780793","0.6079882642780793","0.6079882642780793","0.5572100979320422","0.5572100979320422","0.5572100979320422","0.7105561073890976","0.7105561073890976","0.7105561073890976","0.6115053754944804","0.6115053754944804","0.6115053754944804","0.5384612574768276","0.5384612574768276","0.5384612574768276","0.4976336571896226","0.4976336571896226","0.4976336571896226","0.5680044872284449","0.5680044872284449","0.5680044872284449"
"2","0.5053274159675074","0.5053274159675074","0.5053274159675074","0.6688135054938087","0.6688135054938087","0.6688135054938087","0.5398361198314979","0.5398361198314979","0.5398361198314979","0.6981679916011223","0.6981679916011223","0.6981679916011223","0.6527196940516151","0.6527196940516151","0.6527196940516151","0.626022182703776","0.626022182703776","0.626022182703776","0.47929309018004107","0.47929309018004107","0.47929309018004107","0.5215527020411226","0.5215527020411226","0.5215527020411226"
"3","0.4563544043949397","0.4563544043949397","0.4563544043949397","0.6292687685084912","0.6292687685084912","0.6292687685084912","0.5667081837150678","0.5667081837150678","0.5667081837150678","0.6868530431733083","0.6868530431733083","0.6868530431733083","0.640272389680479","0.640272389680479","0.640272389680479","0.6298447602254261","0.6298447602254261","0.6298447602254261","0.4672936663091515","0.4672936663091515","0.4672936663091515","0.6119853950939866","0.6119853950939866","0.6119853950939866"
"4","0.49030449529744335","0.49030449529744335","0.49030449529744335","0.6095468572040892","0.6095468572040892","0.6095468572040892","0.5078907312310786","0.5078907312310786","0.5078907312310786","0.7213978669834928","0.7213978669834928","0.7213978669834928","0.6761363449057624","0.6761363449057624","0.6761363449057624","0.6267579744552589","0.6267579744552589","0.6267579744552589","0.5554785090161121","0.5554785090161121","0.5554785090161121","0.6675959699319336","0.6675959699319336","0.6675959699319336"
"5","0.5252647399118862","0.5252647399118862","0.5252647399118862","0.6019167056959147","0.6019167056959147","0.6019167056959147","0.5567833318208205","0.5567833318208205","0.5567833318208205","0.7161224188273857","0.7161224188273857","0.7161224188273857","0.6910278819365882","0.6910278819365882","0.6910278819365882","0.6568888433217015","0.6568888433217015","0.6568888433217015","0.5120691693445247","0.5120691693445247","0.5120691693445247","0.719662552695645","0.719662552695645","0.719662552695645"
"6","0.523497714694759","0.523497714694759","0.523497714694759","0.5690797731264745","0.5690797731264745","0.5690797731264745","0.547609129761669","0.547609129761669","0.547609129761669","0.6976889485761042","0.6976889485761042","0.6976889485761042","0.6474792966066101","0.6474792966066101","0.6474792966066101","0.6415880661953228","0.6415880661953228","0.6415880661953228","0.49960115155046536","0.49960115155046536","0.49960115155046536","0.6499477005120778","0.6499477005120778","0.6499477005120778"
"7","0.5083852691743662","0.5083852691743662","0.5083852691743662","0.602707793498792","0.602707793498792","0.602707793498792","0.5879564405047677","0.5879564405047677","0.5879564405047677","0.7253235921046932","0.7253235921046932","0.7253235921046932","0.6671911243753502","0.6671911243753502","0.6671911243753502","0.6549507576232163","0.6549507576232163","0.6549507576232163","0.46392284109748905","0.46392284109748905","0.46392284109748905","0.7443855965007025","0.7443855965007025","0.7443855965007025"
"8","0.3690579603430294","0.3690579603430294","0.3690579603430294","0.5726630320909789","0.5726630320909789","0.5726630320909789","0.5745899883398105","0.5745899883398105","0.5745899883398105","0.6594062987455942","0.6594062987455942","0.6594062987455942","0.6540999210702656","0.6540999210702656","0.6540999210702656","0.6521613866275362","0.6521613866275362","0.6521613866275362","0.5515905335779311","0.5515905335779311","0.5515905335779311","0.7746505472173271","0.7746505472173271","0.7746505472173271"
"9","0.444553809097021","0.444553809097021","0.444553809097021","0.5062248593333862","0.5062248593333862","0.5062248593333862","0.5364524792625142","0.5364524792625142","0.5364524792625142","0.6413523106139071","0.6413523106139071","0.6413523106139071","0.6531289757315346","0.6531289757315346","0.6531289757315346","0.636077685572992","0.636077685572992","0.636077685572992","0.5714034135102215","0.5714034135102215","0.5714034135102215","0.7731655526141936","0.7731655526141936","0.7731655526141936"
