Step,train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_8_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_7_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_6_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_5_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_4_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_3_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_2_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_1_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_8_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_7_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_6_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_5_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_4_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_3_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_2_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_1_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_8_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_7_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_6_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_5_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_4_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_3_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_2_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_features_model_1_seed52_dev30_lambda0.0_random - QWK[High]
0,0.39143275526721966,0.6449433685747104,0.5734087097526572,0.7082579833051555,0.5739345203102569,0.578309725820882,0.6507028735295839,0.7885978180797562,0.4239307052708293,0.6566864118056828,0.5637556348423568,0.7118357927407888,0.5752955507229105,0.5787784867821331,0.6485578094012039,0.7874299592695182,0.3894393136658756,0.6592174039619421,0.5695588559517367,0.7054103636825555,0.5774251512052313,0.5720556727491035,0.6425493213935918,0.7731045804351745,0.418224476820099,0.6578047516625946,0.5725298429291709,0.704586299818158,0.5770230136142316,0.5732782701092136,0.6505952972670176,0.7924894855583099,0.38634524008650806,0.6688031839575205,0.5678271466395469,0.7068893514873107,0.577671189534953,0.5697330686079859,0.6490396508714051,0.7805871259277004
1,0.4136791077219355,0.6849667626452887,0.5725653627431722,0.7195144117560367,0.5327315335219623,0.4966711467901167,0.6400398987252421,0.7593127566658122,0.4701263303072758,0.6491644824838053,0.5429014139066435,0.7160451955218825,0.5875173285471809,0.562688512381307,0.6401579113753249,0.8128179303566543,0.38880993784255624,0.6373645388113733,0.5665602820611964,0.7172720025002285,0.5816425637277189,0.5716585690955296,0.6359250237894141,0.7761277706690515,0.43648157887324723,0.6449968713793564,0.5377661189871523,0.6570784948599406,0.5528751080787241,0.5132313380657241,0.6390770806495081,0.752709291396306,0.4026373497388229,0.6523243504522971,0.5750123106139082,0.7230937234577317,0.5868107337824512,0.5828663967611336,0.6459119564864777,0.8098837862778296
2,0.44345908085259833,0.6714773457170787,0.5766835951635243,0.7290910052325064,0.36758094565665467,0.38192818929974715,0.6052116716764768,0.7682259832007151,0.5093710848995419,0.6542120233760531,0.5245824216096531,0.7059677217046605,0.5956132774488168,0.5230914231856738,0.6339619168858657,0.8057364336584842,0.40128585687064955,0.628895397271212,0.5777458833569309,0.7265086961596825,0.5873288151874573,0.5774672534583327,0.6239507419967771,0.7528982372856683,0.45371554574111683,0.6400288308568942,0.4894481236203091,0.5932815769924948,0.5515927544385466,0.411509257333056,0.6102758775981452,0.7072824976266556,0.4147156304309597,0.6508054033598236,0.5779250961948812,0.7226231468173051,0.595553086339998,0.5913690036120911,0.6321864270582218,0.8046333728843138
3,0.5091985864142217,0.6727820311523017,0.5782060845547469,0.7425196323106356,0.25260474162998947,0.28010049498429124,0.592983883563111,0.7631791682607032,0.5516312800311487,0.6697947331774229,0.5011394849717579,0.7004098641855336,0.6081133085973209,0.49965657953214015,0.6397830905757916,0.7992523481907572,0.40501112374532866,0.6406686843703855,0.5847415176052095,0.738141135423267,0.6033446132971643,0.5864452813156013,0.6166212489832872,0.7702133828028839,0.5369166948457267,0.6149718531817023,0.4031202818319074,0.5600653880896864,0.5455729536814738,0.2901852007508895,0.5960716867222071,0.6624492394035912,0.49483734535051616,0.6477823336433848,0.5891453903013668,0.7181736673549548,0.6123398561732807,0.5885744016649324,0.6307375934611644,0.7990599879585414
4,0.5486581279070717,0.6567054249353722,0.589616420156795,0.7464864021166828,0.17972505856581233,0.23725193564785674,0.5828822116845036,0.769411234583611,0.5650763899750837,0.6283389070056156,0.4726513351612618,0.699925011441491,0.6198065745711708,0.48225333767502443,0.655203215721304,0.797615212455064,0.40872891626360186,0.6240937975476595,0.5889577815859168,0.7411323152537767,0.6275915685080846,0.5940859062231181,0.5987613998308698,0.7691666581802343,0.6117318160356948,0.5299662557616341,0.4131463415883597,0.5488029027968909,0.5316612688508466,0.2388673345300828,0.5818074424099232,0.6178053875967939,0.5169251234687993,0.6434317796358102,0.6089779605572766,0.7234464557448697,0.632246352123507,0.5949962245154794,0.6092238388729988,0.7921491166105732
5,0.5543580845692819,0.6224270279244332,0.5969114722034446,0.7342496784145048,0.14279290097504627,0.2066993246304657,0.5473651483277544,0.7654775840098683,0.5843974011332902,0.5704072394022428,0.4595179392458205,0.6976432623027791,0.6375168330070198,0.4515460499046672,0.6586117454053693,0.7903052096078413,0.40930799518306094,0.6209421330678198,0.5958830232600654,0.7309931367016882,0.6337753487508414,0.6063639622711483,0.5769005481650522,0.7704287433005097,0.6012847051667447,0.47252597458284595,0.38030679252139166,0.5454382079010859,0.5090228484251844,0.17938036580813732,0.5556475981454903,0.5686680980158809,0.5327765583699373,0.6370731475357124,0.6225270314934604,0.7234536498261883,0.6355408283327869,0.6053515286605604,0.5903088584549491,0.7849266197589633
6,0.5860941952386736,0.5824442890860467,0.6077569488837233,0.7346507619794788,0.09709513961127281,0.16592319592647753,0.5154461361992658,0.7560263782696055,0.5926781541486701,0.51244797737265,0.45066093555502906,0.6913624859864815,0.6418010380488284,0.406834517254424,0.6526854752885667,0.7856184172372658,0.4138171043652399,0.6365902934195031,0.6173661156685567,0.7204693072763662,0.6372241829036396,0.6091755926373552,0.5575504172521777,0.7488989799939514,0.5019087531396743,0.44076269458234396,0.2928947942706993,0.5341710501560701,0.5085231807761499,0.10521284632818872,0.5231663745474084,0.49064448976519026,0.5368891100288258,0.6532904290226188,0.6337241258275974,0.7157109228963345,0.6200038522415717,0.6111829101414019,0.5781502967834504,0.7800953976284161
7,0.5671824674506886,0.5421433452699157,0.6126055904206016,0.7074859522482344,0.03885209352465102,0.11916316672484273,0.47822209483078504,0.7565797412184018,0.5746549345470642,0.48093171560430215,0.43786341940141793,0.6465759047041659,0.6436395522117249,0.38296878318114247,0.6522638030657193,0.7820183595101527,0.41713407317349305,0.622891093125271,0.5950308397734863,0.6986742156532975,0.61505572952156,0.6169207013821131,0.5188123589357174,0.7520826671427645,0.45891384736011187,0.4396987701668077,0.12798437260553197,0.5028447808000189,0.5123001298924057,0.06635398202324738,0.4948700548392422,0.4490435964472207,0.543850610790563,0.688943704672363,0.6067371061742193,0.6937184862803656,0.564774004327067,0.6032267504979845,0.5522322925921975,0.7840384746354457
8,0.4534517265110012,0.5131953501181705,0.6026603253623255,0.6989907094209571,0.010788190108667939,0.02405953797382432,0.4446432070055284,0.7768226205137931,0.5553234263151386,0.46722446474263646,0.3908398838121723,0.43191847516118764,0.6237477702558686,0.39337133206670893,0.6277465445707412,0.6164759580232234,0.22585449510696265,0.6911814087957606,0.5245931333534595,0.683156376913604,0.5092848425701338,0.5765219613035096,0.4356019379661549,0.7696673378286648,0.32291792354125115,0.4238253211310975,0.0234261438766612,0.45788278284444295,0.49829439003290543,0.07515219806876694,0.47937799588879615,0.41389329184567203,0.5283150124660235,0.7068928590987771,0.6222760846794134,0.677149642749176,0.3825075086219831,0.574762946754194,0.5054410924983933,0.7965506361491586
9,0.350168078775566,0.5114931647198988,0.5442914264997188,0.6599646276697644,0.0,0.0,0.4530872499580605,0.49852149946717095,0.5353600535203755,0.4327744457096544,0.2831895188936294,0.05666162462695701,0.551781153571528,0.41602471678681774,0.543373105449855,-0.014824929872061299,0.023938664285705458,0.6948787205214264,0.004839254414617855,0.6199468036999318,0.2561850500308558,0.3429743357870384,0.3399444819901586,0.663195511835229,0.1728886524153982,0.35855561994373475,0.005709519058972101,0.3994879796890264,0.4901792132805699,0.1034728020533755,0.45460902124629543,0.3801001037967032,0.40660624002999857,0.5081090177963095,0.5626037110721697,0.5997189427595121,0.2950534083409151,0.5216891575497,0.3822182664759082,0.0370393706131108
