Step,train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_8_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_7_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_6_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_5_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_4_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_3_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_2_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_1_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_8_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_7_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_6_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_5_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_4_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_3_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_2_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_1_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_8_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_7_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_6_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_5_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_4_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_3_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_2_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_features_model_1_seed52_dev30_lambda0.0_random - QWK[Low]
0,0.39143275526721966,0.6449433685747104,0.5734087097526572,0.7082579833051555,0.5739345203102569,0.578309725820882,0.6507028735295839,0.7885978180797562,0.4239307052708293,0.6566864118056828,0.5637556348423568,0.7118357927407888,0.5752955507229105,0.5787784867821331,0.6485578094012039,0.7874299592695182,0.3894393136658756,0.6592174039619421,0.5695588559517367,0.7054103636825555,0.5774251512052313,0.5720556727491035,0.6425493213935918,0.7731045804351745,0.418224476820099,0.6578047516625946,0.5725298429291709,0.704586299818158,0.5770230136142316,0.5732782701092136,0.6505952972670176,0.7924894855583099,0.38634524008650806,0.6688031839575205,0.5678271466395469,0.7068893514873107,0.577671189534953,0.5697330686079859,0.6490396508714051,0.7805871259277004
1,0.3523769257448588,0.6317477094128547,0.5298141819875247,0.6553792359314172,0.5836122738666283,0.6046491942736825,0.6472384830745737,0.7741712020894824,0.41406802450082514,0.6247170807090767,0.5662815435472784,0.6902878478180683,0.5522783695834941,0.5825445779715693,0.6302374813976399,0.7787080556459347,0.4353505819282393,0.6492924464709524,0.5531793492356372,0.6420903348626108,0.5523464113581611,0.49323386419012505,0.6285952547916426,0.7657716734565628,0.378734193160741,0.6732941524179599,0.5695996490130439,0.7171253695713884,0.5864136830606907,0.5839999143349717,0.6439547650752209,0.7672035524426424,0.31583643362846525,0.6829582005826892,0.5024964549940396,0.6574469893814191,0.5572124337942345,0.5179808093450147,0.6424541313160863,0.7592481445681123
2,0.32691924226348734,0.6183317000871025,0.4642862178291155,0.6012269627524455,0.5945585162852631,0.6168811181382621,0.6196528381134687,0.7098425258026225,0.4000024589983271,0.607947578527564,0.5471786722936677,0.6647988726819078,0.4926569382034971,0.5821206543257041,0.594313102918276,0.7612483612916179,0.43197379935433,0.6456615086788169,0.494569158558257,0.5782599570061987,0.5398190967070245,0.3755058793470972,0.5805216283056942,0.6961343079903537,0.3761864113487633,0.6754677680535348,0.5588755270002868,0.7233429284692772,0.5951933223232666,0.5914029386089462,0.624862207933113,0.7561519008125002,0.30111281860377404,0.6729365627736998,0.4573492598093565,0.5908705146901196,0.559654720330429,0.4216031039539079,0.6123981051917867,0.7296097714504505
3,0.3094603755798999,0.6062622576984971,0.4478166157004637,0.5754566757596276,0.6039032805069553,0.6232778307094355,0.6201974692835994,0.6451732264065058,0.3718285639870136,0.5899712900866019,0.5321393298876804,0.6896696293628362,0.4298731126402947,0.5797569182174003,0.5619825245727142,0.6963949248855591,0.38944935082298004,0.6329545539243819,0.4715082694003345,0.5567820972375186,0.4896926216792238,0.09439550035226174,0.5583711927867834,0.6402101294203686,0.36097033093765374,0.6609612610403119,0.5618296123752295,0.7332966741637028,0.61563765864054,0.5876960143743875,0.6106474164556362,0.7682288569306364,0.290497943733692,0.6722238576299842,0.4707830540180009,0.571575115151759,0.5561656311205347,0.2598398267164477,0.5899118835438928,0.6613101180203067
4,0.2974365900390935,0.6014681187073079,0.4458571866693928,0.5445138554848978,0.6192603483233793,0.6279887097336234,0.5851302659383335,0.5549770078080811,0.3618995445173968,0.5735208823244393,0.5131436312672848,0.709258888971659,0.3863331267712513,0.5809523809523809,0.5241106515328475,0.6604440767415426,0.34745539493781163,0.5481672010044738,0.4572021731669136,0.5554359097072664,0.4449085959347706,0.02627095058754747,0.5519986361013483,0.5589608257522574,0.3412475814454228,0.6617682186603353,0.5761372347223455,0.742192978031842,0.6288346831792397,0.603992184508439,0.5860667249717886,0.7760015323308048,0.28072349291452814,0.6783695276274093,0.4656276457732166,0.5452032382873557,0.5455045248915389,0.18447005703422048,0.5521220279312978,0.5730684599391037
5,0.29834440901033576,0.6150429832212961,0.42709263937987696,0.5446505161884495,0.6286356690946803,0.6276942078055148,0.5574214689552012,0.5013660133064266,0.35366143449913623,0.5801463437484826,0.48172760314353835,0.7157763435128761,0.3568215200759084,0.5827676240208877,0.4696561690316584,0.6006448664530348,0.30640288783774583,0.4628908689812198,0.39096445385047285,0.5475040800402107,0.3743654322819575,0.018113068728346282,0.5236353598785453,0.49289849823087817,0.3392572744913779,0.6802856900449772,0.5864291199508525,0.7336974076826556,0.6470462310560414,0.6162534461541396,0.5425109478502192,0.7742782916696945,0.2602565082974748,0.6505887688157775,0.4466647747213719,0.532734895201437,0.5481392504740594,0.1424415962185256,0.518428802320259,0.560669226644685
6,0.29666853012315964,0.6328359281944326,0.41241339793860377,0.5491517036191054,0.6403568396729855,0.6127826943229977,0.52135971016494,0.394337769111592,0.35882364802170275,0.5905522388762541,0.43737329883649656,0.7201213619811697,0.34546833776021857,0.5808505220269926,0.38035485313851203,0.5335896868155332,0.2737309133564195,0.3132768584169484,0.32683758870889346,0.530301808281729,0.35363130198953896,0.0031639912947318827,0.46864137987122045,0.3926533676656797,0.3507051378442875,0.7156736849198883,0.6120463848681952,0.7255778820403838,0.6461007679841391,0.6140245504711137,0.5096585054481395,0.7556898470541248,0.26779988828903256,0.6129064212618347,0.42240725628020026,0.529994916315641,0.5541788957393583,0.1273450650344301,0.4709740437082328,0.5223325299277977
7,0.31295185271867765,0.6498571070002158,0.39430290303553417,0.5467826090649317,0.636288871922113,0.5441114481856986,0.5114027264619696,0.3317119852358269,0.36033734086683855,0.5595703050373768,0.3350455213237108,0.7237610981493237,0.3082102568969144,0.5886502586612321,0.2688403289771366,0.4976226764104368,0.25042486550385457,0.3024815692842151,0.22454794619677787,0.48773729037270264,0.36872667707477824,0.0031694198029557086,0.4510181470047223,0.2700916148632825,0.35492732948106864,0.7012842236655319,0.2714031171618241,0.7165897962014018,0.6064342340995759,0.6078902741283241,0.4878411256287297,0.756776324669358,0.30385606171337276,0.5657534804684732,0.4328058702922002,0.5278520237576632,0.5562538440984711,0.10391820192739032,0.462905008343809,0.48459548466579205
8,0.3510945552333601,0.7022596824115079,0.3704793450453183,0.5388503600960256,0.603402414560193,0.23879994453777853,0.49772305282746543,0.30408327384281986,0.38844829886925203,0.6279529499186813,0.21266723425900513,0.7117734237028737,0.292313980080413,0.5800592554424836,0.10465509487636238,0.444132458525347,0.2607550565652196,0.24975191188305057,0.0980898678740405,0.38037701559544534,0.3732792751582892,0.0,0.38414412875957904,0.2793489153926396,0.41304659239959607,0.6584297412422802,0.03307640272417556,0.6847491618246129,0.4716395339619658,0.58140444166406,0.4563410549904028,0.7742359607487235,0.3211769541838092,0.5179115957018323,0.426872401246024,0.5337048154720091,0.5529590395066215,0.10244650687160106,0.44364480425092523,0.4228331377356038
9,0.0223537656958831,0.6488541551035638,0.3561490821261688,0.5328693506661094,0.5648377263353515,-0.008238641811586511,0.44014977377123143,0.2528401100732376,0.29014229976097095,0.7052276381478537,0.0017803773203851625,0.60705131422583,0.16682893664210063,0.2584619908836936,0.04888080063009592,0.3824072010299936,0.4210753993389117,0.18090502404729658,0.06505283739118295,0.2621979411457004,0.3561084867913661,0.0,0.41538019674014504,0.2887886220989284,0.33432679591588754,0.06031526838292356,-0.05102222969794634,0.5858222083918215,0.2642030077794587,0.5352279582866502,0.44892091090173636,0.7964042823994795,0.3678427610414059,0.5101492826981715,0.38297846085502574,0.5310989561330229,0.5512525665181017,0.08554996405463688,0.4153102019913364,0.3325165260367021
