Step,train-MLP_features_model_8_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_7_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_6_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_5_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_4_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_3_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_2_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_1_seed12_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_8_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_7_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_6_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_5_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_4_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_3_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_2_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_1_seed22_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_8_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_7_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_6_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_5_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_4_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_3_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_2_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_1_seed32_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_8_seed52_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_7_seed52_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_6_seed52_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_5_seed52_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_4_seed52_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_3_seed52_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_2_seed52_dev30_lambda0.5_random - QWK[High],train-MLP_features_model_1_seed52_dev30_lambda0.5_random - QWK[High]
0,0.39143275526721966,0.6449433685747104,0.5734087097526572,0.7082579833051555,0.5739345203102569,0.578309725820882,0.6507028735295839,0.7885978180797562,0.4239307052708293,0.6566864118056828,0.5637556348423568,0.7118357927407888,0.5752955507229105,0.5787784867821331,0.6485578094012039,0.7874299592695182,0.3894393136658756,0.6592174039619421,0.5695588559517367,0.7054103636825555,0.5774251512052313,0.5720556727491035,0.6425493213935918,0.7731045804351745,0.418224476820099,0.6578047516625946,0.5725298429291709,0.704586299818158,0.5770230136142316,0.5732782701092136,0.6505952972670176,0.7924894855583099,0.38634524008650806,0.6688031839575205,0.5678271466395469,0.7068893514873107,0.577671189534953,0.5697330686079859,0.6490396508714051,0.7805871259277004
1,0.4044631703293752,0.6684459050466995,0.5341826565298851,0.6688631024963905,0.5840380544107611,0.46857683512156256,0.6415444621683193,0.7811483514786093,0.46191782824574024,0.6812320659326434,0.5709451923816928,0.7294753864767971,0.5805640599551863,0.5438755475003776,0.6448566311904615,0.7778925768573118,0.3807571812863413,0.6392269243290288,0.5687299379766275,0.717057455502407,0.5836541973086355,0.5722833093507551,0.6383771319081621,0.7667990566947249,0.4366694334989346,0.6666033554586883,0.5321061025451712,0.6501134525555499,0.5555848668399732,0.5474394690946978,0.642854193471665,0.7622907748815633,0.3539749692245464,0.6666856003702275,0.568875622661989,0.7091676092073487,0.589711882942019,0.5789644573358154,0.6501064921010008,0.753189910500917
2,0.42142093976431627,0.66620940983319,0.4989129361604382,0.6180246461534888,0.5900188884278845,0.3024235139673853,0.6096330109210015,0.6986383547359433,0.492434280371283,0.697453547617696,0.5631805168453583,0.7443098956524845,0.5839854609212803,0.518476429327168,0.6203428937670245,0.7328340334524812,0.35545475443357766,0.6279481623426582,0.5722688482062017,0.7288693974411802,0.5896920912703751,0.5744416972936852,0.6248425417528041,0.754157528869143,0.43660085436520246,0.6423782828899933,0.47648496934660856,0.6387177778383153,0.5469199073175742,0.5272656033926431,0.6078655006758839,0.7042824510344488,0.3382456301801503,0.6577855160439184,0.5786348483263999,0.7161597625050699,0.5999868930287231,0.5904242385800218,0.6382597909651317,0.7387068166830866
3,0.5091461893364236,0.6689422372687682,0.46714351653174413,0.6084714197272175,0.6032746428059695,0.18843353727313117,0.551308206032739,0.6486397144498132,0.5560781214096511,0.6621588481054395,0.5751013522020497,0.7566497243038952,0.5935870216518174,0.4922884870937865,0.6041272368149524,0.6787672257183384,0.34008630604523915,0.6411204561407216,0.581818640020665,0.7377123078699983,0.6051114524361525,0.5852707102297386,0.6165151263477942,0.7817862218517011,0.5307906338678718,0.6126295373266586,0.3996439849720579,0.6404867195687318,0.5280674145837853,0.5098323135130085,0.5901790533146198,0.6639690081897395,0.32774446302245175,0.649491753982025,0.5817786684552703,0.7044589464224689,0.6120129796797241,0.5972819720733515,0.6291232934476974,0.7375865687976515
4,0.5569188646619899,0.6462044723679508,0.451018799629588,0.586041289582254,0.6140371478072144,0.07739757266429736,0.5126358227315475,0.5650598507498724,0.5890246431805359,0.6197914552779391,0.5751289461875835,0.7575132442239287,0.6013463397860981,0.46825200231194786,0.5804134127484747,0.6040132709636381,0.33077005217328936,0.6221331926741916,0.586775231870411,0.7343379680947513,0.6271186523368417,0.5933488420874395,0.6030180363519941,0.7787744987678825,0.6228159667318598,0.5261284333220106,0.3992494599037725,0.65303063534903,0.5202827976729035,0.5013724984163479,0.5771546013725278,0.6228903180309174,0.3230789465558339,0.6498122515584543,0.596285617381116,0.7045123959970603,0.6279540639938642,0.602816788218512,0.6135981439592297,0.757920943385977
5,0.559006046674467,0.6155563010573788,0.40375927940832146,0.5712968113502748,0.61820760468442,0.020811720237075004,0.4864779121344389,0.5051995600023234,0.5872089631094002,0.5883358874488299,0.5882531245814506,0.7588298833551859,0.6164397354083043,0.4312828334180647,0.5544433292362851,0.607864820669261,0.3297699630339994,0.6245466686332072,0.5980636930233125,0.7283210685098138,0.6350668456510995,0.6043020960419085,0.5766231216005986,0.7821255042470788,0.605363254564033,0.4889547243875382,0.37557438987031555,0.6765640420638455,0.5168232950142562,0.5097419324621799,0.5558569836161519,0.5630021000434957,0.31367286375141823,0.636605735125958,0.6060477757116293,0.700655497583909,0.6341524223035278,0.6112117835166433,0.5891044086052512,0.773681442127374
6,0.5829635218065193,0.5839955556954416,0.3580496291302987,0.5700413995814115,0.6247696599743668,0.0031660046838691835,0.47152986893933446,0.42643772201157637,0.5990168951116295,0.5404275327615482,0.6026479410649228,0.7564490943365698,0.608357229935065,0.37594799566630555,0.473644065751044,0.5776625276840701,0.3557402288105048,0.6384085445034915,0.6156317861619676,0.7219267703089309,0.6389017038515963,0.609454582915456,0.5605794701126265,0.7575085590153627,0.507800621768024,0.436614350930858,0.2696628212869109,0.701102719205795,0.4879211631195719,0.5133643671321737,0.5253152795338856,0.4961845875752027,0.3071328973845878,0.6530677859189666,0.6095640170319934,0.7061995490920236,0.6158867768792986,0.6172208176310643,0.5820936051548957,0.7655782867652273
7,0.5629014712424472,0.5491447745003795,0.3429805661038545,0.5581394240267283,0.6417882593673525,0.0031660046838691835,0.4554767914555551,0.3653240395549524,0.5462656962621477,0.4609347590675267,0.5839154877808457,0.6931117693412481,0.590353041684833,0.34426800087013276,0.4033927897534294,0.520847383156561,0.3527250430193132,0.6245281121481676,0.5822047375910271,0.6958757641569439,0.6185818879601901,0.6171876941354384,0.5196836296233887,0.7737112331335086,0.46858623261429433,0.43755374634060573,0.08631885793110639,0.7315929785384622,0.4780894943544989,0.5223464330989973,0.49578984315826424,0.4513695396483187,0.3082827906024771,0.6826401056129846,0.6039022136205805,0.706105331976794,0.5636770601735354,0.6031676741603955,0.5514520038338722,0.7470285472014928
8,0.4476301627349084,0.5154293482033699,0.3092906869131057,0.5346784114061652,0.6080931088385162,0.005141388174807027,0.41607575887018866,0.3141571887611233,0.5186867783733102,0.38338475016745877,0.4299045448801392,0.26015776499876553,0.5393369758652442,0.32520891364902504,0.3344308166246651,0.46595543898410685,0.4142867070244086,0.694439289357986,0.5258085278439442,0.6807192572740257,0.49488356376260767,0.5749261838065955,0.4331616535568489,0.7638075226966761,0.3230203677381488,0.421259291303107,0.021531338349870532,0.7091497139227773,0.4721105026222412,0.5259521903236875,0.47509638060808046,0.4258467355241865,0.37853215015992836,0.7063235093913277,0.62885836035751,0.6951079010100926,0.37182996180091366,0.5822609035791121,0.5036047298517105,0.7803051210612204
9,0.3225280481639573,0.5005849143438768,0.21794563097445285,0.556354324950628,0.4779364319300422,0.0,0.275180363303708,0.25131202726038104,0.5479044408684789,0.3206502682874175,0.0017803773203851625,-0.009014052970563569,0.3170032167665212,0.22129220351735168,0.23371328118588652,0.3952569513298331,0.43288451436053277,0.6771423289383194,0.0012396623208934532,0.6199945781628544,0.28304726791216295,0.3517633840898089,0.34542956315034423,0.594808536723147,0.1593499884550561,0.35512177147633894,0.0007950933529820015,0.3026317201230214,0.4548329273442371,0.5156219253558387,0.4529220693240036,0.38960468771724865,0.26610080671142233,0.5904792615519598,0.5331714145237948,0.5687060208285356,0.29536834452918026,0.5064306487343433,0.36292121296191515,0.8056171225153552
