Step,train-MLP_features_model_8_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_7_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_6_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_5_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_4_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_3_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_2_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_1_seed12_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_8_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_7_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_6_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_5_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_4_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_3_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_2_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_1_seed32_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low],train-MLP_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]
0,0.39143275526721966,0.6449433685747104,0.5734087097526572,0.7082579833051555,0.5739345203102569,0.578309725820882,0.6507028735295839,0.7885978180797562,0.4239307052708293,0.6566864118056828,0.5637556348423568,0.7118357927407888,0.5752955507229105,0.5787784867821331,0.6485578094012039,0.7874299592695182,0.3894393136658756,0.6592174039619421,0.5695588559517367,0.7054103636825555,0.5774251512052313,0.5720556727491035,0.6425493213935918,0.7731045804351745,0.418224476820099,0.6578047516625946,0.5725298429291709,0.704586299818158,0.5770230136142316,0.5732782701092136,0.6505952972670176,0.7924894855583099,0.38634524008650806,0.6688031839575205,0.5678271466395469,0.7068893514873107,0.577671189534953,0.5697330686079859,0.6490396508714051,0.7805871259277004
1,0.3482610839951702,0.6172787890094482,0.57929905424177,0.7225848331810063,0.559690344143063,0.5863877877591552,0.6077240801431756,0.7659642625946365,0.4161482502660667,0.656743637999584,0.5372859710123397,0.6487078376149217,0.5721596362102728,0.5783166904422254,0.6436011960803512,0.7502761054336393,0.41543562685278845,0.6406928786517587,0.5458362491252624,0.6453836304361644,0.5530388400679187,0.49672793524343284,0.6321821329583602,0.7614731266072475,0.3868838924516088,0.6656635451621393,0.573324183618932,0.6773440034985685,0.5871090832817067,0.5848861729138874,0.6439015683308627,0.757188919678515,0.4094217446354528,0.6830059468217734,0.523948044208399,0.6802896599574056,0.5550542693071994,0.5063041623096431,0.636346478432726,0.7650010409902024
2,0.32089966155112115,0.6097709355301776,0.5836770748849863,0.729660544471655,0.48756765178716865,0.5928124837215017,0.5799137629549276,0.7508165556751162,0.39453061024251457,0.6726944630564098,0.5110421450996215,0.5495519805254543,0.554173905195948,0.574647789816193,0.6372470292411891,0.7290155982357408,0.4259192028390232,0.6366224875142108,0.4953185695406671,0.5740736088173481,0.5393487507281995,0.37590700021218326,0.5827092541801138,0.6980933401063737,0.3775460252895029,0.6696264765868822,0.5604106259457479,0.6657359005162505,0.5953817053802042,0.5820313328104132,0.6258188865622886,0.7576465294929964,0.43846407156146905,0.6677256738798801,0.4396754693265177,0.6148632221992641,0.561440999161394,0.41328413284132837,0.6058741771088102,0.701110254911339
3,0.2959034696453515,0.5966354784448291,0.5924045618898063,0.7319231963140327,0.27658089653459095,0.6022321516188334,0.5579148842828201,0.7485633762968172,0.3756365830269708,0.6802943837137867,0.46946202755710387,0.5135120808978897,0.5602457414002897,0.5746966246303409,0.6350903399602219,0.7194534328959963,0.5209104603612256,0.6386826841674421,0.46269770836616375,0.56646279433064,0.4997491903474809,0.10655639550829166,0.5608215294791286,0.6263874575744643,0.3592379658677318,0.6568357883862637,0.5674803622116653,0.6574664561850371,0.606520607848807,0.5850817310703326,0.6111451032908906,0.759265735298144,0.4945020560178327,0.6762256089587008,0.42856527915285614,0.6037022300441668,0.5541087517305172,0.2316393181456109,0.5886744928709576,0.6876335002767346
4,0.2827332234906287,0.5853774743141136,0.5868140352679321,0.7240527452544893,0.15665900291077106,0.6070937849496725,0.5328068455757073,0.7526014597114951,0.36289652067554323,0.6795640443558257,0.4559114833430019,0.5165480398377458,0.5441276787219926,0.5755912022490491,0.6200877991043431,0.7128695530402256,0.5489958522966889,0.5724771359528132,0.452809601745772,0.5524938399799589,0.430795896037351,0.02627095058754747,0.5543563119681474,0.5530924007918808,0.33722295986852024,0.665872472522448,0.5719555195292261,0.6559982053488007,0.6232721805210107,0.5922199797149852,0.5925904214783984,0.7709374382533223,0.5554249845249148,0.6781640549017701,0.45535409430130225,0.6052979522170625,0.5476803103766754,0.15126405554297795,0.5460393493859763,0.6324487699857428
5,0.28277249164617,0.6025863917031895,0.6099840658807589,0.7233592322051139,0.15612255068616965,0.6072772937524848,0.5151193784527892,0.7565799422917352,0.35124240117978334,0.6642506418766139,0.44276168523711645,0.5293965358594381,0.5232433512265033,0.5781174265680034,0.6110748466934512,0.7225855425252012,0.5649816740939222,0.47725135158328336,0.38867506767801696,0.5467499405830657,0.4130825681919089,0.020976914852499084,0.5189242309185682,0.48985869159526507,0.33819319506267664,0.6859956644295921,0.5956804467575316,0.651335856499186,0.6352532858017865,0.5870832695154949,0.5493744409749554,0.773781635017093,0.5812792672795271,0.6467258431484522,0.45528842038193107,0.6152587957078395,0.5428930997210435,0.13848052284395407,0.5214814473948666,0.5765918178699098
6,0.28699172245767757,0.631377270122293,0.6278099160035489,0.726029731933642,0.12045622326154393,0.6196206112078239,0.5086639583492205,0.7558264552805991,0.352935188760949,0.6588231311156911,0.41517955310475485,0.5362746474840012,0.5033653220822851,0.5769426104621636,0.6057396522512801,0.7159832063762065,0.4743472900218687,0.3223178965188357,0.3100179985281992,0.5257553240835169,0.4139199084081646,0.0031639912947318827,0.4736306698756234,0.3943585328498964,0.3461827783599072,0.7153216841884393,0.6029619415131056,0.6462239395681261,0.6344865517831675,0.5845428378957682,0.5186156021902537,0.7516740450619331,0.5805360872329446,0.6062401445099589,0.42910308894678073,0.6159664429647438,0.5533869764442572,0.1065805534525116,0.47334905398040106,0.4852023920600904
7,0.30905229110715204,0.6598789385605104,0.6202780595346723,0.7078087614738766,0.08464448577770856,0.6133516905089711,0.5091759605168145,0.7349204267178711,0.3559540132247655,0.638339740272895,0.3657260351179936,0.5330560091971377,0.4913223864898031,0.5555555555555556,0.5920134927327745,0.6924351064532499,0.3804236919367988,0.3055862389875551,0.2163197999438249,0.4895926727776102,0.4372376883392366,0.0031694198029557086,0.4553689720914702,0.27357391399517883,0.35715733773703373,0.7035328926349453,0.22895295018598905,0.5765299545245968,0.596665574896748,0.5786578657865786,0.49171064039944457,0.7560579780461987,0.555876113610424,0.5628119063107754,0.40699052301047156,0.6091816061190195,0.5542571520177387,0.08600706051423035,0.47278409843985825,0.4624819133650041
8,0.3458377396393444,0.7125062409175966,0.6018113338993752,0.6954255555312602,0.06328938737438805,0.45502073149283606,0.495316483370681,0.7769352503174871,0.3938210099226417,0.581455831596544,0.27256807947966555,0.5324698651018531,0.4585112891446239,0.4126391796365402,0.579065382459359,0.7352103496702136,0.22508341255821096,0.24979601623547265,0.1093064294095365,0.3956639295901483,0.4133815638284992,0.0,0.3861213385843594,0.2527264789272303,0.41552453594052774,0.6619545031537417,0.00037316614964011396,0.2882371920884398,0.49305551710071427,0.5371256089576419,0.45475402312802105,0.7781867537045707,0.5206689551410855,0.5171863958947971,0.41298080781956503,0.5779306560442241,0.5461415479135243,0.06835774305938735,0.45799915576192496,0.46088456908120123
9,-0.01034066155492952,0.45819261441665127,0.19733016734192632,0.6379810617919676,0.01606028640290269,-0.09247348567144087,0.5321413334267013,0.6269930240101688,0.3026646645154164,-0.007842712569475996,0.17723110106333573,0.5400634104722077,0.5005445613678772,0.03264709788816578,0.5166439391536909,0.6612859688618828,0.11357750776669528,0.19297058052617944,0.06505283739118295,0.26393718420489964,0.3437792741831873,0.0,0.4175586255349961,0.2889463456952698,0.3385048381898976,0.07510679222084038,-0.07370309895737215,0.2556182426880286,0.20072403356659818,0.43663787053223924,0.4435246747670183,0.7978165141975196,0.5042851805764264,0.5104840869142148,0.3822657787392647,0.5460326801902132,0.5457623015217765,0.05169320653468179,0.438108036545541,0.4208801528011108
