"Step","train-MLP_features_model_8_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_8_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_8_seed12_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_7_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_7_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_7_seed12_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_6_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_6_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_6_seed12_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_5_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_5_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_5_seed12_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_4_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_4_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_4_seed12_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_3_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_3_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_3_seed12_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_2_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_2_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_2_seed12_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_1_seed12_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_1_seed12_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_1_seed12_dev30_lambda0.5_random - QWK[High]__MAX"
"0","0.39143275526721966","0.39143275526721966","0.39143275526721966","0.6449433685747104","0.6449433685747104","0.6449433685747104","0.5734087097526572","0.5734087097526572","0.5734087097526572","0.7082579833051555","0.7082579833051555","0.7082579833051555","0.5739345203102569","0.5739345203102569","0.5739345203102569","0.578309725820882","0.578309725820882","0.578309725820882","0.6507028735295839","0.6507028735295839","0.6507028735295839","0.7885978180797562","0.7885978180797562","0.7885978180797562"
"1","0.4044631703293752","0.4044631703293752","0.4044631703293752","0.6684459050466995","0.6684459050466995","0.6684459050466995","0.5341826565298851","0.5341826565298851","0.5341826565298851","0.6688631024963905","0.6688631024963905","0.6688631024963905","0.5840380544107611","0.5840380544107611","0.5840380544107611","0.46857683512156256","0.46857683512156256","0.46857683512156256","0.6415444621683193","0.6415444621683193","0.6415444621683193","0.7811483514786093","0.7811483514786093","0.7811483514786093"
"2","0.42142093976431627","0.42142093976431627","0.42142093976431627","0.66620940983319","0.66620940983319","0.66620940983319","0.4989129361604382","0.4989129361604382","0.4989129361604382","0.6180246461534888","0.6180246461534888","0.6180246461534888","0.5900188884278845","0.5900188884278845","0.5900188884278845","0.3024235139673853","0.3024235139673853","0.3024235139673853","0.6096330109210015","0.6096330109210015","0.6096330109210015","0.6986383547359433","0.6986383547359433","0.6986383547359433"
"3","0.5091461893364236","0.5091461893364236","0.5091461893364236","0.6689422372687682","0.6689422372687682","0.6689422372687682","0.46714351653174413","0.46714351653174413","0.46714351653174413","0.6084714197272175","0.6084714197272175","0.6084714197272175","0.6032746428059695","0.6032746428059695","0.6032746428059695","0.18843353727313117","0.18843353727313117","0.18843353727313117","0.551308206032739","0.551308206032739","0.551308206032739","0.6486397144498132","0.6486397144498132","0.6486397144498132"
"4","0.5569188646619899","0.5569188646619899","0.5569188646619899","0.6462044723679508","0.6462044723679508","0.6462044723679508","0.451018799629588","0.451018799629588","0.451018799629588","0.586041289582254","0.586041289582254","0.586041289582254","0.6140371478072144","0.6140371478072144","0.6140371478072144","0.07739757266429736","0.07739757266429736","0.07739757266429736","0.5126358227315475","0.5126358227315475","0.5126358227315475","0.5650598507498724","0.5650598507498724","0.5650598507498724"
"5","0.559006046674467","0.559006046674467","0.559006046674467","0.6155563010573788","0.6155563010573788","0.6155563010573788","0.40375927940832146","0.40375927940832146","0.40375927940832146","0.5712968113502748","0.5712968113502748","0.5712968113502748","0.61820760468442","0.61820760468442","0.61820760468442","0.020811720237075004","0.020811720237075004","0.020811720237075004","0.4864779121344389","0.4864779121344389","0.4864779121344389","0.5051995600023234","0.5051995600023234","0.5051995600023234"
"6","0.5829635218065193","0.5829635218065193","0.5829635218065193","0.5839955556954416","0.5839955556954416","0.5839955556954416","0.3580496291302987","0.3580496291302987","0.3580496291302987","0.5700413995814115","0.5700413995814115","0.5700413995814115","0.6247696599743668","0.6247696599743668","0.6247696599743668","0.0031660046838691835","0.0031660046838691835","0.0031660046838691835","0.47152986893933446","0.47152986893933446","0.47152986893933446","0.42643772201157637","0.42643772201157637","0.42643772201157637"
"7","0.5629014712424472","0.5629014712424472","0.5629014712424472","0.5491447745003795","0.5491447745003795","0.5491447745003795","0.3429805661038545","0.3429805661038545","0.3429805661038545","0.5581394240267283","0.5581394240267283","0.5581394240267283","0.6417882593673525","0.6417882593673525","0.6417882593673525","0.0031660046838691835","0.0031660046838691835","0.0031660046838691835","0.4554767914555551","0.4554767914555551","0.4554767914555551","0.3653240395549524","0.3653240395549524","0.3653240395549524"
"8","0.4476301627349084","0.4476301627349084","0.4476301627349084","0.5154293482033699","0.5154293482033699","0.5154293482033699","0.3092906869131057","0.3092906869131057","0.3092906869131057","0.5346784114061652","0.5346784114061652","0.5346784114061652","0.6080931088385162","0.6080931088385162","0.6080931088385162","0.005141388174807027","0.005141388174807027","0.005141388174807027","0.41607575887018866","0.41607575887018866","0.41607575887018866","0.3141571887611233","0.3141571887611233","0.3141571887611233"
"9","0.3225280481639573","0.3225280481639573","0.3225280481639573","0.5005849143438768","0.5005849143438768","0.5005849143438768","0.21794563097445285","0.21794563097445285","0.21794563097445285","0.556354324950628","0.556354324950628","0.556354324950628","0.4779364319300422","0.4779364319300422","0.4779364319300422","0","0","0","0.275180363303708","0.275180363303708","0.275180363303708","0.25131202726038104","0.25131202726038104","0.25131202726038104"
