"Step","train-MLP_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low]__MAX"
"0","0.4239307052708293","0.4239307052708293","0.4239307052708293","0.6566864118056828","0.6566864118056828","0.6566864118056828","0.5637556348423568","0.5637556348423568","0.5637556348423568","0.7118357927407888","0.7118357927407888","0.7118357927407888","0.5752955507229105","0.5752955507229105","0.5752955507229105","0.5787784867821331","0.5787784867821331","0.5787784867821331","0.6485578094012039","0.6485578094012039","0.6485578094012039","0.7874299592695182","0.7874299592695182","0.7874299592695182"
"1","0.4161482502660667","0.4161482502660667","0.4161482502660667","0.656743637999584","0.656743637999584","0.656743637999584","0.5372859710123397","0.5372859710123397","0.5372859710123397","0.6487078376149217","0.6487078376149217","0.6487078376149217","0.5721596362102728","0.5721596362102728","0.5721596362102728","0.5783166904422254","0.5783166904422254","0.5783166904422254","0.6436011960803512","0.6436011960803512","0.6436011960803512","0.7502761054336393","0.7502761054336393","0.7502761054336393"
"2","0.39453061024251457","0.39453061024251457","0.39453061024251457","0.6726944630564098","0.6726944630564098","0.6726944630564098","0.5110421450996215","0.5110421450996215","0.5110421450996215","0.5495519805254543","0.5495519805254543","0.5495519805254543","0.554173905195948","0.554173905195948","0.554173905195948","0.574647789816193","0.574647789816193","0.574647789816193","0.6372470292411891","0.6372470292411891","0.6372470292411891","0.7290155982357408","0.7290155982357408","0.7290155982357408"
"3","0.3756365830269708","0.3756365830269708","0.3756365830269708","0.6802943837137867","0.6802943837137867","0.6802943837137867","0.46946202755710387","0.46946202755710387","0.46946202755710387","0.5135120808978897","0.5135120808978897","0.5135120808978897","0.5602457414002897","0.5602457414002897","0.5602457414002897","0.5746966246303409","0.5746966246303409","0.5746966246303409","0.6350903399602219","0.6350903399602219","0.6350903399602219","0.7194534328959963","0.7194534328959963","0.7194534328959963"
"4","0.36289652067554323","0.36289652067554323","0.36289652067554323","0.6795640443558257","0.6795640443558257","0.6795640443558257","0.4559114833430019","0.4559114833430019","0.4559114833430019","0.5165480398377458","0.5165480398377458","0.5165480398377458","0.5441276787219926","0.5441276787219926","0.5441276787219926","0.5755912022490491","0.5755912022490491","0.5755912022490491","0.6200877991043431","0.6200877991043431","0.6200877991043431","0.7128695530402256","0.7128695530402256","0.7128695530402256"
"5","0.35124240117978334","0.35124240117978334","0.35124240117978334","0.6642506418766139","0.6642506418766139","0.6642506418766139","0.44276168523711645","0.44276168523711645","0.44276168523711645","0.5293965358594381","0.5293965358594381","0.5293965358594381","0.5232433512265033","0.5232433512265033","0.5232433512265033","0.5781174265680034","0.5781174265680034","0.5781174265680034","0.6110748466934512","0.6110748466934512","0.6110748466934512","0.7225855425252012","0.7225855425252012","0.7225855425252012"
"6","0.352935188760949","0.352935188760949","0.352935188760949","0.6588231311156911","0.6588231311156911","0.6588231311156911","0.41517955310475485","0.41517955310475485","0.41517955310475485","0.5362746474840012","0.5362746474840012","0.5362746474840012","0.5033653220822851","0.5033653220822851","0.5033653220822851","0.5769426104621636","0.5769426104621636","0.5769426104621636","0.6057396522512801","0.6057396522512801","0.6057396522512801","0.7159832063762065","0.7159832063762065","0.7159832063762065"
"7","0.3559540132247655","0.3559540132247655","0.3559540132247655","0.638339740272895","0.638339740272895","0.638339740272895","0.3657260351179936","0.3657260351179936","0.3657260351179936","0.5330560091971377","0.5330560091971377","0.5330560091971377","0.4913223864898031","0.4913223864898031","0.4913223864898031","0.5555555555555556","0.5555555555555556","0.5555555555555556","0.5920134927327745","0.5920134927327745","0.5920134927327745","0.6924351064532499","0.6924351064532499","0.6924351064532499"
"8","0.3938210099226417","0.3938210099226417","0.3938210099226417","0.581455831596544","0.581455831596544","0.581455831596544","0.27256807947966555","0.27256807947966555","0.27256807947966555","0.5324698651018531","0.5324698651018531","0.5324698651018531","0.4585112891446239","0.4585112891446239","0.4585112891446239","0.4126391796365402","0.4126391796365402","0.4126391796365402","0.579065382459359","0.579065382459359","0.579065382459359","0.7352103496702136","0.7352103496702136","0.7352103496702136"
"9","0.3026646645154164","0.3026646645154164","0.3026646645154164","-0.007842712569475996","-0.007842712569475996","-0.007842712569475996","0.17723110106333573","0.17723110106333573","0.17723110106333573","0.5400634104722077","0.5400634104722077","0.5400634104722077","0.5005445613678772","0.5005445613678772","0.5005445613678772","0.03264709788816578","0.03264709788816578","0.03264709788816578","0.5166439391536909","0.5166439391536909","0.5166439391536909","0.6612859688618828","0.6612859688618828","0.6612859688618828"
