"Step","train-MLP_features_model_8_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_8_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_8_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_7_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_7_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_7_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_6_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_6_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_6_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_5_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_5_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_5_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_4_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_4_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_4_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_3_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_3_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_3_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_2_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_2_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_2_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_1_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_1_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_1_seed52_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.38634524008650806","0.38634524008650806","0.38634524008650806","0.6688031839575205","0.6688031839575205","0.6688031839575205","0.5678271466395469","0.5678271466395469","0.5678271466395469","0.7068893514873107","0.7068893514873107","0.7068893514873107","0.577671189534953","0.577671189534953","0.577671189534953","0.5697330686079859","0.5697330686079859","0.5697330686079859","0.6490396508714051","0.6490396508714051","0.6490396508714051","0.7805871259277004","0.7805871259277004","0.7805871259277004"
"1","0.4026373497388229","0.4026373497388229","0.4026373497388229","0.6523243504522971","0.6523243504522971","0.6523243504522971","0.5750123106139082","0.5750123106139082","0.5750123106139082","0.7230937234577317","0.7230937234577317","0.7230937234577317","0.5868107337824512","0.5868107337824512","0.5868107337824512","0.5828663967611336","0.5828663967611336","0.5828663967611336","0.6459119564864777","0.6459119564864777","0.6459119564864777","0.8098837862778296","0.8098837862778296","0.8098837862778296"
"2","0.4147156304309597","0.4147156304309597","0.4147156304309597","0.6508054033598236","0.6508054033598236","0.6508054033598236","0.5779250961948812","0.5779250961948812","0.5779250961948812","0.7226231468173051","0.7226231468173051","0.7226231468173051","0.595553086339998","0.595553086339998","0.595553086339998","0.5913690036120911","0.5913690036120911","0.5913690036120911","0.6321864270582218","0.6321864270582218","0.6321864270582218","0.8046333728843138","0.8046333728843138","0.8046333728843138"
"3","0.49483734535051616","0.49483734535051616","0.49483734535051616","0.6477823336433848","0.6477823336433848","0.6477823336433848","0.5891453903013668","0.5891453903013668","0.5891453903013668","0.7181736673549548","0.7181736673549548","0.7181736673549548","0.6123398561732807","0.6123398561732807","0.6123398561732807","0.5885744016649324","0.5885744016649324","0.5885744016649324","0.6307375934611644","0.6307375934611644","0.6307375934611644","0.7990599879585414","0.7990599879585414","0.7990599879585414"
"4","0.5169251234687993","0.5169251234687993","0.5169251234687993","0.6434317796358102","0.6434317796358102","0.6434317796358102","0.6089779605572766","0.6089779605572766","0.6089779605572766","0.7234464557448697","0.7234464557448697","0.7234464557448697","0.632246352123507","0.632246352123507","0.632246352123507","0.5949962245154794","0.5949962245154794","0.5949962245154794","0.6092238388729988","0.6092238388729988","0.6092238388729988","0.7921491166105732","0.7921491166105732","0.7921491166105732"
"5","0.5327765583699373","0.5327765583699373","0.5327765583699373","0.6370731475357124","0.6370731475357124","0.6370731475357124","0.6225270314934604","0.6225270314934604","0.6225270314934604","0.7234536498261883","0.7234536498261883","0.7234536498261883","0.6355408283327869","0.6355408283327869","0.6355408283327869","0.6053515286605604","0.6053515286605604","0.6053515286605604","0.5903088584549491","0.5903088584549491","0.5903088584549491","0.7849266197589633","0.7849266197589633","0.7849266197589633"
"6","0.5368891100288258","0.5368891100288258","0.5368891100288258","0.6532904290226188","0.6532904290226188","0.6532904290226188","0.6337241258275974","0.6337241258275974","0.6337241258275974","0.7157109228963345","0.7157109228963345","0.7157109228963345","0.6200038522415717","0.6200038522415717","0.6200038522415717","0.6111829101414019","0.6111829101414019","0.6111829101414019","0.5781502967834504","0.5781502967834504","0.5781502967834504","0.7800953976284161","0.7800953976284161","0.7800953976284161"
"7","0.543850610790563","0.543850610790563","0.543850610790563","0.688943704672363","0.688943704672363","0.688943704672363","0.6067371061742193","0.6067371061742193","0.6067371061742193","0.6937184862803656","0.6937184862803656","0.6937184862803656","0.564774004327067","0.564774004327067","0.564774004327067","0.6032267504979845","0.6032267504979845","0.6032267504979845","0.5522322925921975","0.5522322925921975","0.5522322925921975","0.7840384746354457","0.7840384746354457","0.7840384746354457"
"8","0.5283150124660235","0.5283150124660235","0.5283150124660235","0.7068928590987771","0.7068928590987771","0.7068928590987771","0.6222760846794134","0.6222760846794134","0.6222760846794134","0.677149642749176","0.677149642749176","0.677149642749176","0.3825075086219831","0.3825075086219831","0.3825075086219831","0.574762946754194","0.574762946754194","0.574762946754194","0.5054410924983933","0.5054410924983933","0.5054410924983933","0.7965506361491586","0.7965506361491586","0.7965506361491586"
"9","0.40660624002999857","0.40660624002999857","0.40660624002999857","0.5081090177963095","0.5081090177963095","0.5081090177963095","0.5626037110721697","0.5626037110721697","0.5626037110721697","0.5997189427595121","0.5997189427595121","0.5997189427595121","0.2950534083409151","0.2950534083409151","0.2950534083409151","0.5216891575497","0.5216891575497","0.5216891575497","0.3822182664759082","0.3822182664759082","0.3822182664759082","0.0370393706131108","0.0370393706131108","0.0370393706131108"
