"Step","train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.3894393136658756","0.3894393136658756","0.3894393136658756","0.6592174039619421","0.6592174039619421","0.6592174039619421","0.5695588559517367","0.5695588559517367","0.5695588559517367","0.7054103636825555","0.7054103636825555","0.7054103636825555","0.5774251512052313","0.5774251512052313","0.5774251512052313","0.5720556727491035","0.5720556727491035","0.5720556727491035","0.6425493213935918","0.6425493213935918","0.6425493213935918","0.7731045804351745","0.7731045804351745","0.7731045804351745"
"1","0.4353505819282393","0.4353505819282393","0.4353505819282393","0.6492924464709524","0.6492924464709524","0.6492924464709524","0.5531793492356372","0.5531793492356372","0.5531793492356372","0.6420903348626108","0.6420903348626108","0.6420903348626108","0.5523464113581611","0.5523464113581611","0.5523464113581611","0.49323386419012505","0.49323386419012505","0.49323386419012505","0.6285952547916426","0.6285952547916426","0.6285952547916426","0.7657716734565628","0.7657716734565628","0.7657716734565628"
"2","0.43197379935433","0.43197379935433","0.43197379935433","0.6456615086788169","0.6456615086788169","0.6456615086788169","0.494569158558257","0.494569158558257","0.494569158558257","0.5782599570061987","0.5782599570061987","0.5782599570061987","0.5398190967070245","0.5398190967070245","0.5398190967070245","0.3755058793470972","0.3755058793470972","0.3755058793470972","0.5805216283056942","0.5805216283056942","0.5805216283056942","0.6961343079903537","0.6961343079903537","0.6961343079903537"
"3","0.38944935082298004","0.38944935082298004","0.38944935082298004","0.6329545539243819","0.6329545539243819","0.6329545539243819","0.4715082694003345","0.4715082694003345","0.4715082694003345","0.5567820972375186","0.5567820972375186","0.5567820972375186","0.4896926216792238","0.4896926216792238","0.4896926216792238","0.09439550035226174","0.09439550035226174","0.09439550035226174","0.5583711927867834","0.5583711927867834","0.5583711927867834","0.6402101294203686","0.6402101294203686","0.6402101294203686"
"4","0.34745539493781163","0.34745539493781163","0.34745539493781163","0.5481672010044738","0.5481672010044738","0.5481672010044738","0.4572021731669136","0.4572021731669136","0.4572021731669136","0.5554359097072664","0.5554359097072664","0.5554359097072664","0.4449085959347706","0.4449085959347706","0.4449085959347706","0.02627095058754747","0.02627095058754747","0.02627095058754747","0.5519986361013483","0.5519986361013483","0.5519986361013483","0.5589608257522574","0.5589608257522574","0.5589608257522574"
"5","0.30640288783774583","0.30640288783774583","0.30640288783774583","0.4628908689812198","0.4628908689812198","0.4628908689812198","0.39096445385047285","0.39096445385047285","0.39096445385047285","0.5475040800402107","0.5475040800402107","0.5475040800402107","0.3743654322819575","0.3743654322819575","0.3743654322819575","0.018113068728346282","0.018113068728346282","0.018113068728346282","0.5236353598785453","0.5236353598785453","0.5236353598785453","0.49289849823087817","0.49289849823087817","0.49289849823087817"
"6","0.2737309133564195","0.2737309133564195","0.2737309133564195","0.3132768584169484","0.3132768584169484","0.3132768584169484","0.32683758870889346","0.32683758870889346","0.32683758870889346","0.530301808281729","0.530301808281729","0.530301808281729","0.35363130198953896","0.35363130198953896","0.35363130198953896","0.0031639912947318827","0.0031639912947318827","0.0031639912947318827","0.46864137987122045","0.46864137987122045","0.46864137987122045","0.3926533676656797","0.3926533676656797","0.3926533676656797"
"7","0.25042486550385457","0.25042486550385457","0.25042486550385457","0.3024815692842151","0.3024815692842151","0.3024815692842151","0.22454794619677787","0.22454794619677787","0.22454794619677787","0.48773729037270264","0.48773729037270264","0.48773729037270264","0.36872667707477824","0.36872667707477824","0.36872667707477824","0.0031694198029557086","0.0031694198029557086","0.0031694198029557086","0.4510181470047223","0.4510181470047223","0.4510181470047223","0.2700916148632825","0.2700916148632825","0.2700916148632825"
"8","0.2607550565652196","0.2607550565652196","0.2607550565652196","0.24975191188305057","0.24975191188305057","0.24975191188305057","0.0980898678740405","0.0980898678740405","0.0980898678740405","0.38037701559544534","0.38037701559544534","0.38037701559544534","0.3732792751582892","0.3732792751582892","0.3732792751582892","0","0","0","0.38414412875957904","0.38414412875957904","0.38414412875957904","0.2793489153926396","0.2793489153926396","0.2793489153926396"
"9","0.4210753993389117","0.4210753993389117","0.4210753993389117","0.18090502404729658","0.18090502404729658","0.18090502404729658","0.06505283739118295","0.06505283739118295","0.06505283739118295","0.2621979411457004","0.2621979411457004","0.2621979411457004","0.3561084867913661","0.3561084867913661","0.3561084867913661","0","0","0","0.41538019674014504","0.41538019674014504","0.41538019674014504","0.2887886220989284","0.2887886220989284","0.2887886220989284"
