Step,train-MLP_mlp_8_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_7_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_6_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_5_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_4_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_3_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_2_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_1_seed12_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_8_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_7_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_6_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_5_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_4_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_3_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_2_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_1_seed32_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[High],train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]
0,0.5983386589021916,0.7385063987990943,0.557728189020674,0.729500693855881,0.6327256042570921,0.5251959686450168,0.30256212168315155,0.6185029336989862,0.5884659670620174,0.6245084347060709,0.6016666039045226,0.7079241937720044,0.6210949643403898,0.5710618436406067,0.27934289581127214,0.496271979445822,0.38398596720027267,0.7219231060893304,0.5761366684768741,0.7560089676472505,0.6397585534764496,0.5947747096312858,0.34960192208036933,0.4122568512590127,0.36548968467483856,0.6201497104685674,0.583136876920231,0.7220880613967116,0.6159975502372672,0.6070485476335568,0.37302120671213623,0.6046953922680178,0.6087798257228634,0.6939954637124058,0.5589026569073829,0.7273248502408525,0.6382294772166528,0.5731605496608105,0.3002731640491859,0.5020870501855063
1,0.49078147193071964,0.6275446741271895,0.5417613510485438,0.69560574144649,0.6011001617980924,0.5169616157387572,0.26251274085916976,0.43587656848455203,0.6416548782253335,0.6771476008756971,0.6143924756119642,0.713773079684892,0.6561342481704486,0.5867285753820608,0.328398450015415,0.41905680422292735,0.6330253800056949,0.6278155656740192,0.5776905048457591,0.7185965668920928,0.6213751493849585,0.6003019070128881,0.36807767412569037,0.5386386996259007,0.46229354324448846,0.6265620983124728,0.6072700697247223,0.7147486456780787,0.6392150984132685,0.5204074506400087,0.30287721793824307,0.38560846451633957,0.48585846216027273,0.5628349208143593,0.592820999367489,0.7122902600221834,0.660125924098652,0.5675201835458107,0.25685894223016414,0.5450533189425615
2,0.47108816545190546,0.6990900597386217,0.5519166142032507,0.7245873348377491,0.5614638475516047,0.5212204765548367,0.2111606363196007,0.4983044905417653,0.5699268779659027,0.6290982042070771,0.5960406564519338,0.7517991615835483,0.6083582874421186,0.631615619982429,0.3337545667371422,0.5346653033485391,0.466498499002549,0.6712984769979589,0.5585618896404725,0.734841968982282,0.641441026729147,0.6085277180971437,0.3406386975579213,0.6536329866733701,0.4142594100787861,0.6799751598599958,0.6365345512523501,0.693803210254059,0.6590906087651398,0.5220617407061902,0.3827308492899879,0.5793082593383038,0.39584524491412676,0.6727050396806042,0.4907760982918077,0.7032329775833491,0.5879578827201712,0.5654948011342981,0.3726177566007355,0.3420645596642746
3,0.3865805599488161,0.7233256303421414,0.5061568264443068,0.7205071421992448,0.48005495111372487,0.5216508331591125,0.18804137804124665,0.3067404538696801,0.6128576649298173,0.670659932996241,0.6157787661101828,0.7639109388442225,0.6563847133134804,0.6439357038480273,0.3452447009210965,0.2734689253326491,0.48813743187557956,0.6542925924945238,0.522036883783435,0.7667071007131632,0.6464983103567452,0.6486067028601035,0.3327297764966135,0.5119347032700722,0.4020454822325491,0.5953104797469155,0.6493261643015023,0.7142758017624466,0.6635154312977309,0.5032718905055251,0.318751756788783,0.3970271706640772,0.3478989306505612,0.580511436206236,0.4669997131608147,0.6933949620875945,0.5729220656620397,0.47864385249930064,0.30435667752442985,0.3192974579034563
4,0.5102967597964787,0.7252885103678787,0.5151008902321735,0.5466445310005748,0.49842758054832437,0.518104720701428,0.13199117387058756,0.3728256885131881,0.670032848020902,0.6747140370034548,0.5692581869259019,0.7247875272519824,0.6143525001392529,0.6231817132302009,0.29784139423858447,0.1003172595304388,0.6473729421090901,0.6593126119189944,0.5489194941946436,0.7621116317038552,0.6578569637279711,0.6141830679839095,0.4101144076013187,0.504228695365726,0.602813412942805,0.6467213603362182,0.6732530490143438,0.632152263686715,0.6607927248995458,0.5112595033677334,0.3806008720033802,0.6213460805701607,0.4239885759765607,0.6654879436430233,0.3842687132437149,0.6700177923658189,0.5470337344089583,0.45873166227543005,0.18759312709705744,0.13836641088201773
5,0.4588642536043692,0.6843947884462755,0.44932906786142357,0.6461685900526286,0.23447487033006942,0.44823547278525844,0.14956806446881,0.1865422005332359,0.5380891092824913,0.6630048882806938,0.5511749062721583,0.7648286531667372,0.6404886281520481,0.6506840557473469,0.3187188838429509,0.051817395067070615,0.5752267781472313,0.6659691998368304,0.4583212530758194,0.7637319185563652,0.6250932285057165,0.6535212621651756,0.4093168526398855,0.5271048612748163,0.3609068475024224,0.5819296607371522,0.6783892988516824,0.6791265659190188,0.646511038633637,0.45031008624170177,0.38374129968430615,0.5425110070604289,0.4487260953987282,0.5214753020672922,0.28483990568363804,0.5738598749169412,0.4030419577519849,0.45956095171656297,0.18697044889751713,0.2112234072799961
6,0.29883253309521385,0.6342396568470277,0.3791385473965707,0.571906076401743,-0.23890561614496675,0.3593613199963883,0.09045507931071484,0.06447336556746186,0.5660536487037459,0.6498649670051696,0.543662356911078,0.766692747861073,0.6273506014616943,0.6303680981595092,0.3382537027949969,-0.1539899343502067,0.6451912141931374,0.6206208341580832,0.47412924299713377,0.7827179014859764,0.5937211794524735,0.6325092318907732,0.4257094298810321,0.6208418363045418,0.3825503541094877,0.5838951758610345,0.6645020093562892,0.6995254116280754,0.6389494168012024,0.33714400109578657,0.40074477282310883,0.6085926557960128,0.4108311112086319,0.5786671065153974,0.09387474311954758,0.6028270141891159,-0.12553453765296219,0.26735879183444977,0.16658846348903456,-0.01615032015267448
7,0.3550174861533162,0.6505868464305544,0.29944872640121645,0.44414052404878046,-0.37786972651531725,0.22220647420793438,0.052691191257659975,-0.06959274519923686,0.4617528007259527,0.6488839038480797,0.49908239540527033,0.7736956843531104,0.6167541837702473,0.6491588389863783,0.37686170477013725,-0.24046092679297137,0.5531618873953389,0.6100594661183221,0.5169429084924564,0.7801618689832858,0.5709992950601794,0.6422024683844313,0.49717248678273795,0.5843469161310479,0.40183281872776677,0.5864231506080846,0.6588304748641407,0.5975831071021888,0.6498923782058527,0.21802794944602188,0.4167451619102224,0.6782999027084341,0.20211486096050557,0.5091802830903203,-0.1324146619054669,0.5790322725782908,-0.3222767618084954,0.2159216903728578,0.10970460715588148,-0.1952657483701885
8,0.20333832929364248,0.557955088228561,0.309919541212349,0.47725339547322987,-0.4367561797003121,0.20823179785841373,0.020670892678960495,-0.2776132845903774,0.5001190167796146,0.6425881341279249,0.47518084865998544,0.7521071109911199,0.60117811427182,0.6610622425119697,0.39253916936085553,-0.3056843032665,0.46235599209587686,0.6255877140231692,0.4192713531521237,0.7716974009012157,0.5568006928072757,0.6505547764717594,0.549163722695706,0.5887849000494751,0.18307679332883764,0.5781444058396406,0.6176065221322735,0.3016372225195697,0.6588675055887112,0.2558995284286657,0.4254772935170704,0.6773958744603708,0.2973448048752393,0.4710813738992997,-0.15633376962602674,0.43547328542568453,-0.32997387148264234,0.016285172881302268,0.07238406928013552,-0.35302158525229466
9,0.008752003790713614,0.3540906136950529,0.01583693743401826,-0.2009851146860948,-0.5817743189234401,0.16025518871228073,0.0,-0.30749249927805233,0.37604154507325005,0.6408586166760379,0.48277946837024655,0.7361327286307704,0.6147732608723948,0.6417746238688561,0.46038554552601985,0.04414158284643732,0.45421807567572803,0.5953256207760103,0.480341948468605,0.7632571174615133,0.5868829394684253,0.6514937529122253,0.5719803362321076,0.5793412938251223,0.0076146292058147935,0.5672682010338903,0.6268154301381763,-0.18268466851263243,0.6683708346492534,0.07997999458186589,0.5030637236755208,0.6825872226316763,-0.012525037966228725,0.10624415060475179,-0.24172386545177016,-0.052434377637332386,-0.5263534801815324,0.06123296201480666,0.0,-0.2585680844979015
