Step,train-MLP_mlp_8_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_7_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_6_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_5_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_4_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_3_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_2_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_1_seed12_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_8_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_7_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_6_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_5_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_4_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_3_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_2_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_1_seed32_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low],train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]
0,0.5983386589021916,0.7385063987990943,0.557728189020674,0.729500693855881,0.6327256042570921,0.5251959686450168,0.30256212168315155,0.6185029336989862,0.5884659670620174,0.6245084347060709,0.6016666039045226,0.7079241937720044,0.6210949643403898,0.5710618436406067,0.27934289581127214,0.496271979445822,0.38398596720027267,0.7219231060893304,0.5761366684768741,0.7560089676472505,0.6397585534764496,0.5947747096312858,0.34960192208036933,0.4122568512590127,0.36548968467483856,0.6201497104685674,0.583136876920231,0.7220880613967116,0.6159975502372672,0.6070485476335568,0.37302120671213623,0.6046953922680178,0.6087798257228634,0.6939954637124058,0.5589026569073829,0.7273248502408525,0.6382294772166528,0.5731605496608105,0.3002731640491859,0.5020870501855063
1,0.3351975983721377,0.6385164772169828,0.6242335221449358,0.7362668352827104,0.620158666417927,0.5731984919924892,0.3465210062818689,0.554546271451142,0.5108766306883161,0.7096783150687318,0.5756650167499759,0.7109369489368734,0.6510469326035051,0.5214822771213748,0.20317484574681466,0.5160671931465001,0.6145249678474829,0.5889737053162236,0.5507155401113477,0.6776733148901959,0.6063081495848128,0.5527279621830572,0.31124838808322264,0.6034687860496291,0.5760099271697121,0.6197827643252733,0.5896612833115993,0.7461692141512049,0.5932548655276766,0.5984495214632763,0.2057256682638492,0.47539837727493706,0.4571639260055397,0.7245780670551729,0.6428830703930231,0.753613612468881,0.6601427638101056,0.5913684533865766,0.3253709204943127,0.41082862749786575
2,0.423579969398742,0.6897928822005117,0.6316403198127831,0.7259736318796057,0.6351542565205179,0.6177080040958438,0.308800828662675,0.6297187485195122,0.48628859462816854,0.6695891204424533,0.5753919861740667,0.7285754855058217,0.5566150518681485,0.5233529323081563,0.2553329260205014,0.5118656228936325,0.5846949724714099,0.6856348379531672,0.5251169978248291,0.664408650854786,0.5866400382737401,0.5272606229915167,0.19493521185177987,0.5997005298246252,0.5587928018743167,0.6318009501509471,0.4635893520079746,0.7466640545153931,0.5712006604224624,0.6424369984778155,0.22201736936587257,0.42121502729978755,0.47922136460108977,0.7047642835353682,0.6487627953072022,0.7499729721838396,0.6323465895447566,0.6270823483605418,0.3161609521502958,0.5336183868233311
3,0.47846965278063824,0.593787025888901,0.6416192031949812,0.7139538020717484,0.6582266133584999,0.5911077978753876,0.36482399003022215,0.49121147533026754,0.5458043085177336,0.7150305190202985,0.5916908079275303,0.5986038352930698,0.5797661081532071,0.49595352763020706,0.15955470511761494,0.524169703891108,0.4204193426460543,0.7048567298972237,0.5497259371356991,0.5141112292445227,0.6333273499907287,0.5198891282336875,0.17008896722014655,0.46912483119063597,0.5490166340513571,0.7236559219752836,0.4706845916768322,0.7241588491623989,0.5338098234854811,0.6348610139608866,0.2038780581430174,0.49502577648861634,0.5419773517088197,0.6644792545685333,0.6620786271302086,0.754789979014703,0.6582425958134852,0.5974216366285197,0.32816337139476925,0.6006030191775119
4,0.5672601287775787,0.557406499627788,0.6170303415090557,0.7278917067154455,0.6565521758591151,0.6070938708246181,0.3584195217968207,0.5465780688431858,0.585962290579567,0.7019649398911323,0.5835947763926145,0.5736746809873381,0.4206388150955741,0.4401912742939659,0.12330085490503884,0.6270003369326956,0.269068769273786,0.719325292940458,0.5643954312721544,0.4320676007944715,0.5600317600881916,0.5097961303475094,0.11700983507472962,0.41108791604252204,0.5228275575698689,0.7003412165905483,0.3653014812213521,0.7072865816084251,0.38576438162845905,0.6493602100022279,0.10726241012821192,0.498571601474849,0.48571985841981,0.6818840400718442,0.6690182411180914,0.737922119403255,0.6522621494407193,0.6105286000335368,0.33311958781178863,0.483668231180883
5,0.5943686567850086,0.5583274040097557,0.6220033014828454,0.7490649072723865,0.6645970145887448,0.6678135629737476,0.39385782386045043,0.5651308151605337,0.4979529040601489,0.6798718078503085,0.582919603636735,0.5328630676959438,0.4290463964175343,0.3423155971683033,0.06242723525729621,0.5524110915551719,0.3098935876738108,0.4884071231366094,0.5948686454243135,0.33048059107324446,0.5197091128339599,0.5051763647745872,0.08462682872680027,0.5202037065297481,0.5879205350608554,0.519956011806465,0.05619082914996132,0.7196878471099928,0.2005024967686504,0.6164770528596857,0.08788980596492613,0.40770710227905393,0.5122385541199705,0.6793443537568564,0.6690405452638938,0.765982551326637,0.6626578251098334,0.596324791268969,0.38843395367475286,0.6437382163262664
6,0.47761111069448015,0.5808576917256556,0.5907459222139251,0.763623822888404,0.6608010269723665,0.6542799981053471,0.42447191529361694,0.6331741212740033,0.28393917519356027,0.6429452162722236,0.43160739203592136,0.5342665360259367,0.3568917419948562,0.2251754063513881,0.058501811888149735,0.6336411971508205,0.18912664066238027,0.5997950829339038,0.6238605716119556,0.25956526725826123,0.2133683737928629,0.269737244995902,0.06145515996972162,0.3393860978143164,0.5279358608778009,0.5716776941229873,-0.09404071529813152,0.7239972165377067,-0.15163364231789056,0.6678193213745407,0.062156346773832194,0.30811651635006,0.48393518420530846,0.6546347572653997,0.6579949698621111,0.7692699159933702,0.6601622147224596,0.5915514504809438,0.3599982920545973,0.6288037665654331
7,0.43663694887663096,0.5510890589937569,0.6032472413082086,0.7511555561296716,0.6711291021993278,0.6579805356479795,0.42008054655278837,0.628945631568016,0.11350203339108911,0.542268634229053,0.43812575170655,0.32314884392014886,0.09384814858198653,0.16789175005137447,0.04704345079533112,0.6653785385053494,0.08057067865728573,0.6067739629128193,0.6049184500616764,0.06755821722378674,-0.033848614562491,0.2201797281272765,0.04368227107518485,0.25384139463832,0.4421615962229769,0.573314404057639,-0.15405079523053078,0.7208921141273867,-0.3382889832588798,0.6768964628192653,0.04544359958448385,0.1511328209435222,0.5038223564534543,0.6756947199229904,0.6558800520677507,0.761821367002328,0.6368680824886941,0.5290150513187666,0.3605291196806014,0.686142057673783
8,0.4426095656068638,0.5498755181064056,0.5916968747267823,0.6757328280444286,0.6719859612942615,0.6667323545280552,0.5404749695926089,0.7070848219357291,0.01568808317856807,0.4997612274799075,0.3315735833199843,0.3084777657774018,-0.1375034176641048,0.14513210278682587,0.018011801624034818,0.7426868604666426,0.016522264845741597,0.470683209311337,0.623469701823481,-0.12880537231076916,-0.3468114291404869,0.21689868788245403,0.03779887659943204,0.18406181852932169,0.41408281076594633,0.4854112054574753,-0.22398093369524008,0.7202152549339409,-0.36918091608251635,0.6747230780667917,0.038360027216749026,-0.09595598688536255,0.48311338408372273,0.671313644258662,0.65663538755379,0.700654851087631,0.6449978730191277,0.5263656903090455,0.47315465784608424,0.7175540116743653
9,0.4467847869386078,0.5361237664508842,0.5875293963678708,0.7318013499027065,0.6788692707086484,0.6720878601247016,0.5851151278411857,0.7539402828842925,0.008601968146587313,0.3377843470301847,0.027137853736038053,-0.38064785442137894,-0.5739942840659671,0.0415981268246417,0.0,0.7727480542593436,0.009046568699005775,0.3613534168059773,0.5198342466824459,-0.5673783332132265,-0.37651294374950584,0.037410383314868234,0.013337809587119165,-0.29025251221645987,0.42233762663179475,-0.0014684388864367737,-0.26656447300774944,0.715108251741451,-0.4625282915801583,0.6731722278722133,0.012237728686981475,-0.4293287547550233,0.4677670139282778,0.6715792283684756,0.6535156582806928,0.6865397238143764,0.6578763778119793,0.5298173666372725,0.46553781019361207,0.7657708772590761
