"Step","train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.5884659670620174","0.5884659670620174","0.5884659670620174","0.6245084347060709","0.6245084347060709","0.6245084347060709","0.6016666039045226","0.6016666039045226","0.6016666039045226","0.7079241937720044","0.7079241937720044","0.7079241937720044","0.6210949643403898","0.6210949643403898","0.6210949643403898","0.5710618436406067","0.5710618436406067","0.5710618436406067","0.27934289581127214","0.27934289581127214","0.27934289581127214","0.496271979445822","0.496271979445822","0.496271979445822"
"1","0.6416548782253335","0.6416548782253335","0.6416548782253335","0.6771476008756971","0.6771476008756971","0.6771476008756971","0.6143924756119642","0.6143924756119642","0.6143924756119642","0.713773079684892","0.713773079684892","0.713773079684892","0.6561342481704486","0.6561342481704486","0.6561342481704486","0.5867285753820608","0.5867285753820608","0.5867285753820608","0.328398450015415","0.328398450015415","0.328398450015415","0.41905680422292735","0.41905680422292735","0.41905680422292735"
"2","0.5699268779659027","0.5699268779659027","0.5699268779659027","0.6290982042070771","0.6290982042070771","0.6290982042070771","0.5960406564519338","0.5960406564519338","0.5960406564519338","0.7517991615835483","0.7517991615835483","0.7517991615835483","0.6083582874421186","0.6083582874421186","0.6083582874421186","0.631615619982429","0.631615619982429","0.631615619982429","0.3337545667371422","0.3337545667371422","0.3337545667371422","0.5346653033485391","0.5346653033485391","0.5346653033485391"
"3","0.6128576649298173","0.6128576649298173","0.6128576649298173","0.670659932996241","0.670659932996241","0.670659932996241","0.6157787661101828","0.6157787661101828","0.6157787661101828","0.7639109388442225","0.7639109388442225","0.7639109388442225","0.6563847133134804","0.6563847133134804","0.6563847133134804","0.6439357038480273","0.6439357038480273","0.6439357038480273","0.3452447009210965","0.3452447009210965","0.3452447009210965","0.2734689253326491","0.2734689253326491","0.2734689253326491"
"4","0.670032848020902","0.670032848020902","0.670032848020902","0.6747140370034548","0.6747140370034548","0.6747140370034548","0.5692581869259019","0.5692581869259019","0.5692581869259019","0.7247875272519824","0.7247875272519824","0.7247875272519824","0.6143525001392529","0.6143525001392529","0.6143525001392529","0.6231817132302009","0.6231817132302009","0.6231817132302009","0.29784139423858447","0.29784139423858447","0.29784139423858447","0.1003172595304388","0.1003172595304388","0.1003172595304388"
"5","0.5380891092824913","0.5380891092824913","0.5380891092824913","0.6630048882806938","0.6630048882806938","0.6630048882806938","0.5511749062721583","0.5511749062721583","0.5511749062721583","0.7648286531667372","0.7648286531667372","0.7648286531667372","0.6404886281520481","0.6404886281520481","0.6404886281520481","0.6506840557473469","0.6506840557473469","0.6506840557473469","0.3187188838429509","0.3187188838429509","0.3187188838429509","0.051817395067070615","0.051817395067070615","0.051817395067070615"
"6","0.5660536487037459","0.5660536487037459","0.5660536487037459","0.6498649670051696","0.6498649670051696","0.6498649670051696","0.543662356911078","0.543662356911078","0.543662356911078","0.766692747861073","0.766692747861073","0.766692747861073","0.6273506014616943","0.6273506014616943","0.6273506014616943","0.6303680981595092","0.6303680981595092","0.6303680981595092","0.3382537027949969","0.3382537027949969","0.3382537027949969","-0.1539899343502067","-0.1539899343502067","-0.1539899343502067"
"7","0.4617528007259527","0.4617528007259527","0.4617528007259527","0.6488839038480797","0.6488839038480797","0.6488839038480797","0.49908239540527033","0.49908239540527033","0.49908239540527033","0.7736956843531104","0.7736956843531104","0.7736956843531104","0.6167541837702473","0.6167541837702473","0.6167541837702473","0.6491588389863783","0.6491588389863783","0.6491588389863783","0.37686170477013725","0.37686170477013725","0.37686170477013725","-0.24046092679297137","-0.24046092679297137","-0.24046092679297137"
"8","0.5001190167796146","0.5001190167796146","0.5001190167796146","0.6425881341279249","0.6425881341279249","0.6425881341279249","0.47518084865998544","0.47518084865998544","0.47518084865998544","0.7521071109911199","0.7521071109911199","0.7521071109911199","0.60117811427182","0.60117811427182","0.60117811427182","0.6610622425119697","0.6610622425119697","0.6610622425119697","0.39253916936085553","0.39253916936085553","0.39253916936085553","-0.3056843032665","-0.3056843032665","-0.3056843032665"
"9","0.37604154507325005","0.37604154507325005","0.37604154507325005","0.6408586166760379","0.6408586166760379","0.6408586166760379","0.48277946837024655","0.48277946837024655","0.48277946837024655","0.7361327286307704","0.7361327286307704","0.7361327286307704","0.6147732608723948","0.6147732608723948","0.6147732608723948","0.6417746238688561","0.6417746238688561","0.6417746238688561","0.46038554552601985","0.46038554552601985","0.46038554552601985","0.04414158284643732","0.04414158284643732","0.04414158284643732"
