"Step","train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.36548968467483856","0.36548968467483856","0.36548968467483856","0.6201497104685674","0.6201497104685674","0.6201497104685674","0.583136876920231","0.583136876920231","0.583136876920231","0.7220880613967116","0.7220880613967116","0.7220880613967116","0.6159975502372672","0.6159975502372672","0.6159975502372672","0.6070485476335568","0.6070485476335568","0.6070485476335568","0.37302120671213623","0.37302120671213623","0.37302120671213623","0.6046953922680178","0.6046953922680178","0.6046953922680178"
"1","0.5760099271697121","0.5760099271697121","0.5760099271697121","0.6197827643252733","0.6197827643252733","0.6197827643252733","0.5896612833115993","0.5896612833115993","0.5896612833115993","0.7461692141512049","0.7461692141512049","0.7461692141512049","0.5932548655276766","0.5932548655276766","0.5932548655276766","0.5984495214632763","0.5984495214632763","0.5984495214632763","0.2057256682638492","0.2057256682638492","0.2057256682638492","0.47539837727493706","0.47539837727493706","0.47539837727493706"
"2","0.5587928018743167","0.5587928018743167","0.5587928018743167","0.6318009501509471","0.6318009501509471","0.6318009501509471","0.4635893520079746","0.4635893520079746","0.4635893520079746","0.7466640545153931","0.7466640545153931","0.7466640545153931","0.5712006604224624","0.5712006604224624","0.5712006604224624","0.6424369984778155","0.6424369984778155","0.6424369984778155","0.22201736936587257","0.22201736936587257","0.22201736936587257","0.42121502729978755","0.42121502729978755","0.42121502729978755"
"3","0.5490166340513571","0.5490166340513571","0.5490166340513571","0.7236559219752836","0.7236559219752836","0.7236559219752836","0.4706845916768322","0.4706845916768322","0.4706845916768322","0.7241588491623989","0.7241588491623989","0.7241588491623989","0.5338098234854811","0.5338098234854811","0.5338098234854811","0.6348610139608866","0.6348610139608866","0.6348610139608866","0.2038780581430174","0.2038780581430174","0.2038780581430174","0.49502577648861634","0.49502577648861634","0.49502577648861634"
"4","0.5228275575698689","0.5228275575698689","0.5228275575698689","0.7003412165905483","0.7003412165905483","0.7003412165905483","0.3653014812213521","0.3653014812213521","0.3653014812213521","0.7072865816084251","0.7072865816084251","0.7072865816084251","0.38576438162845905","0.38576438162845905","0.38576438162845905","0.6493602100022279","0.6493602100022279","0.6493602100022279","0.10726241012821192","0.10726241012821192","0.10726241012821192","0.498571601474849","0.498571601474849","0.498571601474849"
"5","0.5879205350608554","0.5879205350608554","0.5879205350608554","0.519956011806465","0.519956011806465","0.519956011806465","0.05619082914996132","0.05619082914996132","0.05619082914996132","0.7196878471099928","0.7196878471099928","0.7196878471099928","0.2005024967686504","0.2005024967686504","0.2005024967686504","0.6164770528596857","0.6164770528596857","0.6164770528596857","0.08788980596492613","0.08788980596492613","0.08788980596492613","0.40770710227905393","0.40770710227905393","0.40770710227905393"
"6","0.5279358608778009","0.5279358608778009","0.5279358608778009","0.5716776941229873","0.5716776941229873","0.5716776941229873","-0.09404071529813152","-0.09404071529813152","-0.09404071529813152","0.7239972165377067","0.7239972165377067","0.7239972165377067","-0.15163364231789056","-0.15163364231789056","-0.15163364231789056","0.6678193213745407","0.6678193213745407","0.6678193213745407","0.062156346773832194","0.062156346773832194","0.062156346773832194","0.30811651635006","0.30811651635006","0.30811651635006"
"7","0.4421615962229769","0.4421615962229769","0.4421615962229769","0.573314404057639","0.573314404057639","0.573314404057639","-0.15405079523053078","-0.15405079523053078","-0.15405079523053078","0.7208921141273867","0.7208921141273867","0.7208921141273867","-0.3382889832588798","-0.3382889832588798","-0.3382889832588798","0.6768964628192653","0.6768964628192653","0.6768964628192653","0.04544359958448385","0.04544359958448385","0.04544359958448385","0.1511328209435222","0.1511328209435222","0.1511328209435222"
"8","0.41408281076594633","0.41408281076594633","0.41408281076594633","0.4854112054574753","0.4854112054574753","0.4854112054574753","-0.22398093369524008","-0.22398093369524008","-0.22398093369524008","0.7202152549339409","0.7202152549339409","0.7202152549339409","-0.36918091608251635","-0.36918091608251635","-0.36918091608251635","0.6747230780667917","0.6747230780667917","0.6747230780667917","0.038360027216749026","0.038360027216749026","0.038360027216749026","-0.09595598688536255","-0.09595598688536255","-0.09595598688536255"
"9","0.42233762663179475","0.42233762663179475","0.42233762663179475","-0.0014684388864367737","-0.0014684388864367737","-0.0014684388864367737","-0.26656447300774944","-0.26656447300774944","-0.26656447300774944","0.715108251741451","0.715108251741451","0.715108251741451","-0.4625282915801583","-0.4625282915801583","-0.4625282915801583","0.6731722278722133","0.6731722278722133","0.6731722278722133","0.012237728686981475","0.012237728686981475","0.012237728686981475","-0.4293287547550233","-0.4293287547550233","-0.4293287547550233"
