Step,train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_7_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_8_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_2_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_3_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_4_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_6_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_5_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_1_seed32_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_8_seed52_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_7_seed52_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_4_seed52_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_3_seed52_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_2_seed52_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_1_seed52_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_5_seed52_dev30_lambda0.0_random - QWK[High],train-PAES_features_model_6_seed52_dev30_lambda0.0_random - QWK[High]
0,0.6834520954453852,0.7436543321680054,0.6225079499963486,0.7309819732266092,0.6346891518834878,0.6355046397901849,0.5799659321828234,0.750862300527839,0.6579102966797139,0.7543396327533092,0.5890516555489176,0.7156497612680802,0.6420014977376128,0.6511790800840532,0.5820548303848598,0.765977489294646,0.7484415760647705,0.6776250889686053,0.6090872264981216,0.6525159809867236,0.6365333830216271,0.5774954627949183,0.7448912844396767,0.7860668470734034,0.6777091977250858,0.6924874153399275,0.734455790418298,0.6105188018779,0.6144481377439038,0.6077407190480772,0.6133562759663987,0.7878626007308978,0.6414891870731194,0.7438638920998644,0.5948870085568009,0.6196761739200745,0.5719819559058148,0.7729817727798005,0.7427904902944313,0.5989240316650464
1,0.6060011276617727,0.74199166552671,0.6244700598689967,0.7359706067313359,0.6271000956767852,0.5972105813329316,0.591377838385437,0.7725066912796845,0.6752246380687787,0.751329321331284,0.5804031944223675,0.7398533227360962,0.6573568630597042,0.6077661292876826,0.6322077922077922,0.7871701072174517,0.7264361068190868,0.6766679383167318,0.5737445460461841,0.6090632115922454,0.6193715821026193,0.5886238532110092,0.7328977342803813,0.7873241093621474,0.6233931772627237,0.7185199876055918,0.7324306547815331,0.5650631382571468,0.5494725989276923,0.5567594688745594,0.6107958914421234,0.7354026972536585,0.562321367129258,0.7191712752550969,0.6275470346591414,0.6159902835364577,0.5742447705696717,0.7419265822678909,0.7327035062117735,0.5797010400146563
2,0.5576352802063325,0.7532701014666602,0.6064345338485515,0.7574874186486242,0.4900031636793981,0.6659620878696626,0.6216874074334842,0.7562199919137738,0.6937829016425955,0.7235531717126797,0.5419356951766172,0.7157473359244229,0.6073907031166896,0.5842642059252063,0.6642713303308071,0.7523911151845688,0.7045812856836025,0.6319590731139346,0.5728829532041275,0.6672556139129308,0.6392789623831382,0.5987714075237591,0.7470900171153525,0.67934741478532,0.576582807585369,0.6809413721981096,0.6375712631461565,0.4896633332559921,0.5092458348324493,0.5481277740229517,0.5570568025297413,0.6344772887419696,0.5754706014012431,0.7453297891531568,0.6425112878264125,0.6278084033877779,0.5888074642088164,0.8008933231838848,0.7428115370329205,0.586633258309808
3,0.6578987895974708,0.7175540837636064,0.6354998778635851,0.7565683649089765,0.3205773796929732,0.545662569575398,0.5596497290672859,0.6635876583611362,0.6727393077848584,0.6462899024161066,0.5424771898562919,0.7010282356781459,0.6397600060040584,0.5482938114517062,0.6313160350238928,0.8039849907818002,0.7170294070474061,0.622779711182857,0.5973300654338902,0.6215171652881478,0.6346793005566216,0.6353785526006734,0.7386029729428021,0.6540269495645296,0.6392958754050239,0.5630317152733466,0.6896833144878892,0.45039425978043146,0.4686754420122009,0.5506255517708729,0.47260879466503125,0.6739681970286876,0.6068932087209004,0.7368038222377525,0.6361319987015355,0.6613386232284891,0.6057862601887276,0.7429454680562118,0.7171754810557444,0.6284470305137398
4,0.6446024279908857,0.6744917142004354,0.618170479020693,0.7601282131593043,0.2914517279162392,0.5290289746507546,0.5988516152051961,0.7426504561863665,0.648533047528675,0.6496196650660262,0.42641998967167116,0.7268201648851125,0.6393076225456231,0.5322705349582122,0.6092090283854092,0.7802431991976934,0.6895341234808705,0.6311908894829455,0.6106595965603799,0.644973615443148,0.6614464455367746,0.6163044514584786,0.7515650983657503,0.7089833681224614,0.672282292994361,0.5325523030917072,0.6548409762759206,0.5114218628913795,0.37331443463628444,0.55264253162711,0.5329580992765998,0.656288928759988,0.6024375255636296,0.7238803672209644,0.6468720332877735,0.6438102659004579,0.6373130191463332,0.7617002903270708,0.7463880465136477,0.6522579087177011
5,0.6593580661806913,0.6275370396538382,0.6290742053902265,0.7578240643909882,0.3558175820256775,0.4974929891066924,0.5458239390817139,0.6489989586984795,0.6027624740768107,0.5851695879172333,0.42455547632323043,0.7420169903232632,0.6538737692444119,0.5313831918691487,0.6137341910472154,0.6507291393455062,0.7156060105487234,0.6014435242202447,0.5702014361201699,0.6456951057264524,0.6583937278738895,0.6698606133436387,0.7715813169133618,0.6279554967118495,0.5503241309074123,0.5555516816770654,0.5952311970265586,0.29886948157854387,0.34631327369196707,0.5339201756719099,0.5499682267197763,0.6001803398070775,0.6252827288895761,0.7244480311082302,0.6373864491941806,0.6608,0.5541363660561712,0.7712575354946608,0.7568343577457717,0.625646234425117
6,0.6313568832136366,0.5978363161818286,0.6292586562897078,0.732287803338868,0.43889308028683816,0.30403904742208365,0.5153554944064436,0.5675260921924132,0.5780140598641674,0.517670777001616,0.42447636736283734,0.7208274472609506,0.6280291351967442,0.4486074934882789,0.6550998216693489,0.606380365240035,0.6678564803906332,0.5777051483107521,0.601037208436825,0.6406992415160119,0.6704770308630426,0.6213158171413695,0.7543443096022395,0.5555385627690764,0.4021921034348763,0.5487085520815318,0.4745151681951373,0.22938234267767832,0.2813237884637009,0.5395328298422182,0.565851991207234,0.49192025266803585,0.5929259535596951,0.6871612811441652,0.6251646057994479,0.6567296601898678,0.628065035513252,0.7928352994781874,0.7646056178898009,0.6367004028127057
7,0.6101679053360312,0.5633064943315085,0.6289880408181514,0.7638706100661503,0.3024029583079315,0.3163102525372975,0.48895040284512237,0.4910519941715351,0.5005210667856241,0.48109465880769275,0.44259252434763097,0.7090311181686457,0.6476359830213914,0.4501520243238918,0.5536397886932719,0.6723850166647408,0.6025337206494326,0.5039284289276479,0.5685723632305115,0.6028546968015884,0.6861847107730888,0.6359298022566804,0.7445172849273991,0.6005773899152425,0.41181978796073826,0.51066920892614,0.4245895543514354,0.1453295580152324,0.2172187230957452,0.5275033620428258,0.5074210320537607,0.3865547742730666,0.5440894242927243,0.6705269376177885,0.6377000639297523,0.6386660908193484,0.5825242838731419,0.720299895683933,0.7359385617007725,0.6141602010782982
8,0.4775739422836278,0.49569656296814224,0.6538929898115615,0.7524644623646446,0.23289585152481673,0.13261131167268347,0.4773471904921355,0.5232973883296468,0.45275953724034934,0.463371701006824,0.3293776698978155,0.6731964557789908,0.6763675892722278,0.4804633204633204,0.5445904934765851,0.6780345128460148,0.570940458510597,0.46697327743904915,0.4536236923279888,0.6017780746121968,0.6827622595918448,0.651534807364811,0.6950455594660693,0.5472774519363475,0.24639458834868122,0.50827208904943,0.40781178540521357,0.39956574493901265,0.0482998909671013,0.5279083341991007,0.44778293528714774,0.38165744750935826,0.5593963514425992,0.5799430835536763,0.5860410246092785,0.6197857291318943,0.4865719740333444,0.6637060695346153,0.7523820940680176,0.6582151400908363
9,0.475085197356898,0.5014450235862791,0.630177437918127,0.6770823996468762,0.22474530141273696,0.2842228773411948,0.4762898375368566,0.3985061994493805,0.41975911000398036,0.46115521713165586,0.304782012332363,0.6279553965681068,0.6484345008221561,0.4982133353607542,0.6033182056377855,0.09620757513359601,0.49035129867275984,0.18498650198704647,0.28721138855324746,0.5672498802760095,0.6012756797115982,0.2475973229464805,0.693503344034814,0.45947634663286285,0.14523526983517432,0.5027636876161735,0.39517195003596783,0.26874805224240017,0.017421360870242375,0.5163602901406135,0.3537500555070382,0.3294159985967241,0.4689558057527179,0.41658483921007883,0.6498974621091371,0.6237146565833287,0.3842007275829993,0.4674271842962362,0.7061980365567675,0.6400525097592151
