Step,train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_8_seed52_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_7_seed52_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_4_seed52_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_3_seed52_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_2_seed52_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_1_seed52_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_5_seed52_dev30_lambda0.0_random - QWK[Low],train-PAES_features_model_6_seed52_dev30_lambda0.0_random - QWK[Low]
0,0.6834520954453852,0.7436543321680054,0.6225079499963486,0.7309819732266092,0.6346891518834878,0.6355046397901849,0.5799659321828234,0.750862300527839,0.6579102966797139,0.7543396327533092,0.5890516555489176,0.7156497612680802,0.6420014977376128,0.6511790800840532,0.5820548303848598,0.765977489294646,0.7484415760647705,0.6776250889686053,0.6090872264981216,0.6525159809867236,0.6365333830216271,0.5774954627949183,0.7448912844396767,0.7860668470734034,0.6777091977250858,0.6924874153399275,0.734455790418298,0.6105188018779,0.6144481377439038,0.6077407190480772,0.6133562759663987,0.7878626007308978,0.6414891870731194,0.7438638920998644,0.5948870085568009,0.6196761739200745,0.5719819559058148,0.7729817727798005,0.7427904902944313,0.5989240316650464
1,0.6416604986189591,0.7407013861910312,0.5846237363789044,0.7224255030732712,0.6350730170966477,0.6170729412196729,0.585514643720406,0.7190399469185251,0.6617417535334811,0.7300219565609138,0.5728056550868614,0.690344651418771,0.5539410521418295,0.6103801374666853,0.6262873644827007,0.7301467349920767,0.7303894309918586,0.6811397776988214,0.5925878999049732,0.6269877039266463,0.5677982946438638,0.6023663877380376,0.7124599276993384,0.7692768746210367,0.6260595309007265,0.7306454118821326,0.7437572639881893,0.6378357297883885,0.6460488606464108,0.6372630081869071,0.5633224339520455,0.7472238693426688,0.5514681420505467,0.77240068338238,0.519925438161102,0.5482038985326005,0.6355103514476461,0.7315967004113978,0.7280277137347477,0.5453032090396834
2,0.5415630254669632,0.748692620471595,0.5403300530623312,0.6758667466673622,0.6414903713534503,0.61799437764961,0.630064308681672,0.6737381099096911,0.6320274830879806,0.7422924379977522,0.6268394790471582,0.6420597667649857,0.5053565052254982,0.6649900006060239,0.5760012430563648,0.7495538235114033,0.6529823389311387,0.6817016892582248,0.5437233366615231,0.4590070060683389,0.5512846895872228,0.5252340814030023,0.6916093061327151,0.6135468720191506,0.5776087832440324,0.7435327421905507,0.7292454358321641,0.6767445518253787,0.6321727858085422,0.6468652068606375,0.6651129814227149,0.6779673543569844,0.44109418464296046,0.7468060533442649,0.5659871371270231,0.48621492762989427,0.5821807235753019,0.7711070065431922,0.6671478445780119,0.5220064306194363
3,0.39990829873066513,0.7426145726305309,0.4683900141562284,0.6589389560532208,0.6046968600597133,0.6204867456922224,0.5866395889050502,0.6395544997004072,0.6007954296551634,0.7374144522419429,0.601344395090069,0.651617365131171,0.5582429181848629,0.5993674222456511,0.561107596625077,0.6813387068578334,0.6794711824233752,0.6780312970359279,0.5302565453895236,0.21319906033179747,0.4964181567097238,0.48849938952940497,0.620922252532585,0.7067696077689407,0.5710455722190444,0.7336208536817403,0.7536474095829113,0.6641973802323453,0.5770096682767567,0.617196665852224,0.4960987987982288,0.7086370597701387,0.44476602314953995,0.721061264763211,0.557723886682129,0.3902393765077009,0.5244391880823435,0.6878232454468476,0.6353498499238517,0.49328677818602273
4,0.44128049076849984,0.7370245340743624,0.4733035091345026,0.5468868119831913,0.6593218078338532,0.6037301223083471,0.6014592419395628,0.5971485330212427,0.5776757230759706,0.7439406685264587,0.5430021367521367,0.6884482317086802,0.5377053972808308,0.6113447643696754,0.5733582594168887,0.6238541651662821,0.583594716003456,0.6763579053782446,0.5381848952824202,0.2507589545866358,0.48089768024372204,0.3823418986999153,0.5576233783300026,0.606124443730367,0.5637013537399211,0.7152337542945433,0.6948598581310355,0.638356623544528,0.5589849214914209,0.6475158472261415,0.5744524614215334,0.6738429347858215,0.37497361113601846,0.6558704614803403,0.5551467364710383,0.3332600873458401,0.47198727693538167,0.6318015598245174,0.5412302306513477,0.47362076398595165
5,0.4381667872434917,0.7510227975167294,0.4388929337278342,0.5259526921268913,0.6508711008537317,0.609717270078293,0.5464741072197756,0.5086068640954342,0.5548138532054279,0.7044120659208639,0.5802189901289676,0.6971977313751816,0.5087966886753494,0.5873658635351287,0.5631604715098106,0.5720805925577261,0.4922281441741563,0.6557592900127849,0.5029244960710625,0.21248357747471402,0.3614923438957973,0.39261461947118104,0.5526333916615094,0.43074713228332107,0.49904179955281014,0.6952809185523612,0.7495527062185774,0.6646783127396676,0.6122669248964812,0.6572692684531306,0.5850734323378528,0.637680951068335,0.33551954460659805,0.6067353340652428,0.557619022028655,0.27498017446471046,0.4444119680364368,0.6137330605593017,0.5122910766752116,0.44691809326515475
6,0.35023275206952054,0.6727486423693428,0.42527976268455225,0.549872490288182,0.5933737244298721,0.545119300336141,0.4671803379389585,0.3709437637771056,0.48361315376001157,0.6647257867402722,0.4977147516782724,0.7083383984959759,0.5352938298772603,0.5489500954458686,0.5234511710500229,0.46044165386585656,0.3288420845161414,0.5771625734767694,0.48764873320781865,0.138977640330342,0.437708347361057,0.34985939331964,0.5491910435455385,0.38778456049308063,0.5080270181916708,0.7453476546406754,0.7332809214372314,0.6351075842167995,0.5759018597833678,0.6554110027879926,0.5673014924021405,0.6073780758009082,0.3364886797398947,0.6055402436245078,0.5478259511481803,0.23290582842931706,0.4479703208971282,0.5540044945825606,0.5341074487883914,0.44908240256750975
7,0.3113096157185592,0.6614708201764172,0.4319142201911277,0.5420252007573285,0.6294539837461028,0.5707624717073749,0.5159393622192034,0.34469074575015635,0.43945507125068983,0.6244392593811299,0.3435346754050833,0.7356624208678133,0.5659223613077412,0.6221749666188616,0.3070912000361883,0.4569117293059395,0.3196079615921762,0.4005375505406302,0.49473719015551465,0.01667860102501384,0.35576829845040225,0.31681285380397595,0.5428885173210063,0.2818817069974826,0.2709527943146953,0.7556868621877622,0.6396235394223233,0.6486145364862904,0.3327798251718095,0.6674075371110264,0.45038863226201564,0.48848785548194307,0.2413564888632066,0.551859709236826,0.5541683534365189,0.08075298810989384,0.3924784868570418,0.4957513818275996,0.5146568053614722,0.4425812389041668
8,0.30050918233708446,0.6274237156747995,0.41267752402522406,0.5585941185346996,0.6346045170057362,0.4822040796034487,0.4603296540765879,0.3094696532269976,0.351127511792524,0.6076772928248518,0.20772712784736125,0.7224225045703586,0.5097544588408655,0.5841381755981561,0.2879586288893634,0.4657483280846163,0.30127838409258423,0.5286115188203648,0.43050766938508167,0.0,0.4790367716070091,0.20224565745534617,0.5058814213373671,0.29665449489863693,0.3920677824057138,0.7455504029780786,0.5446206668106395,0.6212709371516072,0.21412485347702614,0.6595391491214537,0.4576476706010588,0.5929766212936127,0.3169247206330862,0.5033406202704975,0.5537982369081674,0.19573448500266222,0.4454780250988629,0.4014714872276096,0.5184701030591466,0.43954207890202646
9,0.3449543613077438,0.48998371284751274,0.3739012446287062,0.5251843927857536,0.6313222578257833,0.4556213174392971,0.2459508167034704,0.302124191386423,0.15176245936450594,0.504138992548894,0.17277799509995684,0.7239324256305948,0.5310123914014908,0.34945842495317203,0.08254784073438359,0.44233438295264493,0.2510895253305029,0.5909100043361397,0.44640646380400073,0.0,0.30273311707195527,0.1363783100748024,0.42235050268291263,0.312848093883784,0.21193045674313205,0.7152544653319031,0.37917985045448266,0.5659657158720244,0.07823479229377728,0.6849194134160184,0.21365757988209888,0.47154153457500514,0.1834137356771416,0.5110729191361899,0.5509177565819943,0.12794119889595423,0.31254837591797513,0.3527289295333925,0.5176944569895401,0.43861476741277383
