Step,train-PAES_features_model_8_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_7_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_6_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_5_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_4_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_3_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_2_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_1_seed12_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_8_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_7_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_6_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_5_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_4_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_3_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_2_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_1_seed22_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_8_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_7_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_2_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_6_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_4_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_5_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_3_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_1_seed32_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_8_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_3_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_5_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_7_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_6_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_4_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_2_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_1_seed42_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[High],train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[High]
0,0.6834520954453852,0.7359514876731055,0.6225079499963486,0.7309819732266092,0.6346891518834878,0.6355046397901849,0.5799659321828234,0.750862300527839,0.6579102966797139,0.7543396327533092,0.6163115972785873,0.7156497612680802,0.6479553409874331,0.6511790800840532,0.6422559258343239,0.773107282834965,0.6776250889686053,0.7361095364924731,0.6090872264981216,0.63002459493457,0.6365333830216271,0.7156364059818077,0.6137171400211329,0.7279317732278865,0.6777091977250858,0.6105188018779,0.6924874153399275,0.734455790418298,0.6276773315231083,0.6448817899566265,0.6563531994325705,0.7834089884204929,0.7438638920998644,0.657749045936741,0.6130294875896201,0.5989240316650464,0.633402628086621,0.7461605443465125,0.6417022569558204,0.765543179560923
1,0.6317851974377461,0.7222424601392959,0.5905030367846257,0.7096207978550164,0.6336473255151351,0.5894421053541632,0.6031837646919245,0.7093333235437542,0.6642514793453429,0.7414083413510493,0.5706801203065878,0.7148084966679562,0.6493449286040556,0.633321012130784,0.6151996816140219,0.714990910324877,0.6351275845976484,0.7374463050213875,0.5919007345165326,0.5837708040076177,0.627147730660518,0.7587733087762499,0.629485166134138,0.7687119917415846,0.6076975761981195,0.5631439505445982,0.6739295041244154,0.7479868330592301,0.5408813147522491,0.5887843570613734,0.6241924954212479,0.7530602763298463,0.7419840346056308,0.5969811002313761,0.6387562862175478,0.5680948736140684,0.6327018722000708,0.769668660558567,0.6284823537958811,0.727130997394234
2,0.5796355058591665,0.7582677606166066,0.5206236834454583,0.6911750746810352,0.6417460280391334,0.5023365066557917,0.629738013721802,0.6736193872819567,0.6502693587159598,0.7240937213793246,0.6284118860588749,0.7366248700741027,0.6330399851497055,0.6109688215005293,0.6529755956149919,0.6977140968818057,0.5654836309210997,0.7369066045428754,0.6557762940641292,0.584504833934807,0.6383268793488694,0.745370262134388,0.6402596087135994,0.7345122111024195,0.5984965893524351,0.5745547689639177,0.6916523203179366,0.7242615276564899,0.5105585187343916,0.5546498146633432,0.6407859899065482,0.6378982234229398,0.7418194524267457,0.5690277208348791,0.654107451721617,0.5686066277385141,0.6064914026346246,0.738496416074079,0.65814743535338,0.7089134874261391
3,0.6484386147411052,0.7474479008416681,0.465389079512186,0.6765304860123629,0.6535480395757416,0.35332356033346657,0.568009406494218,0.6618148530512662,0.6741906002114728,0.6969241124118282,0.6739095721940008,0.7573704434051078,0.6206762544375752,0.5722454926242944,0.6319412574575494,0.6676106615218169,0.5779688414722957,0.7145426568398668,0.5737288115987629,0.6303799805019874,0.6543009881354122,0.7654391551258044,0.585030424737202,0.7160474635664068,0.6517897827512207,0.5288150860634069,0.6933310297166551,0.725288390712123,0.5067935193998059,0.5450989203748586,0.5883696558184943,0.6523607930863071,0.7024048263846547,0.5130712549560692,0.6470084834052686,0.612572433275619,0.6036611743820899,0.7529452139211295,0.6476803677646439,0.6789537843920872
4,0.6908017219141287,0.677493260609549,0.4494767162585338,0.6415554062151363,0.6609038297080134,0.32348489090869925,0.5198925768270654,0.6009992936020856,0.6347634147191616,0.6691775711474804,0.6521506767389285,0.7561484339890672,0.6547804356672602,0.5647411085956329,0.5907446023317641,0.611101157695767,0.5564296879546369,0.6964515987651616,0.5812127250473704,0.6271282663767387,0.6590512059654912,0.7063139141599084,0.6556841099174848,0.7426771365904964,0.6615517677623346,0.5337731699654413,0.6955440303365705,0.7072584016848312,0.38250440473621694,0.5553389668113582,0.5506924882406764,0.6917445514261824,0.7178767145090323,0.47185989746406787,0.6308475520697021,0.6450269269606193,0.6238405464571313,0.764813867213503,0.6695452641709515,0.6748543956065154
5,0.6718137925299287,0.6345115837692148,0.44072313833307764,0.6367030508047993,0.6549039902631444,0.1362097550992052,0.5244563048842383,0.5555253343413901,0.6298622014660312,0.6631001907637144,0.653646849311296,0.7363317807526678,0.6821076130472513,0.4657883902840675,0.6025880336656946,0.5992296934435994,0.49006565938829527,0.704528685312986,0.5834318262481608,0.641085341211038,0.6688818123074056,0.7620148160860554,0.655884658342752,0.6686720682555435,0.6374872013314803,0.5337175031891963,0.7126396126528916,0.6680462086845205,0.3763310959638827,0.5461961619343938,0.5274784457743503,0.5938766370146218,0.6674983446305042,0.4633387830267759,0.637811209341671,0.6613638647037321,0.6220716598243874,0.7346442296299853,0.658478732661548,0.6634470075293153
6,0.6422783506389298,0.6081989821737213,0.4332541097246979,0.6139981902505295,0.6583675658361126,0.03297986997183877,0.5818791918248328,0.40018873525313037,0.6190079342437356,0.6385492577211078,0.6392313486085784,0.7533672669418627,0.661322193895834,0.5199143796345845,0.6500737575047503,0.5197179453534795,0.4494451759480623,0.6666012245849541,0.5963567592519231,0.6212743972970378,0.6775733523535667,0.7709126171598397,0.6470734730393237,0.5319511652981701,0.4365554475254865,0.5273793432069471,0.7039561942991677,0.5039604283595773,0.33850198156546285,0.5312326312415103,0.5593514194664169,0.4925310204282616,0.6838358018930859,0.4139948188891228,0.607518438855935,0.6464139307048036,0.6028227446514277,0.7632591852378192,0.6516251353811287,0.6486323695478541
7,0.5992317937798081,0.6090106935324924,0.4015417906410603,0.6086151017677379,0.6483619484395938,0.009068122836061843,0.5477795007557111,0.39843260245247747,0.5179924563091283,0.6167086691470733,0.6605504760216026,0.7201165163698522,0.6846573480234726,0.4574142916150351,0.5019898011402975,0.45074496406759834,0.2792754659924507,0.6177944924165575,0.5469239685416405,0.6582661949788395,0.677654327044045,0.754189820250503,0.6268531364906886,0.6215634539045439,0.4337372212874864,0.5219775180131061,0.7011430715319218,0.46133509615465706,0.1965278193334531,0.5275966282373599,0.5105289163116753,0.4403459723451928,0.7110268595055598,0.29248086218542735,0.6322472605482543,0.6844248914965061,0.55943799908146,0.7214107577040925,0.6543959051963948,0.5920167104982998
8,0.5144641639700893,0.5341140890934886,0.3807756432993541,0.5959824702546741,0.6797755882794623,0.030483925820713464,0.5390246561477512,0.3266784328951413,0.45600962880916784,0.5281392071189182,0.6437765392781316,0.4042195498358213,0.6952957878775866,0.4780552682133885,0.3936161403611318,0.43171431132893057,0.3177863594160665,0.5977524861413823,0.46088882735705394,0.6565478383131942,0.6914698586902821,0.7434259902745963,0.6594787622414093,0.6585067541516284,0.3504239683262076,0.517308283590793,0.7187971046244788,0.433922699698742,0.10389851083743384,0.5244336200853144,0.47712947108961934,0.39118835358308945,0.5854266770295821,0.34171588415697074,0.6292084210255321,0.6294750124998665,0.49614674565178885,0.7213346831472686,0.6688439386144889,0.6500561330389099
9,0.39682573688190703,0.49535191288216773,0.35780507765317937,0.5800002712835783,0.6856454251458377,0.007512248230811092,0.511810328659216,0.315640292587283,0.562466916455349,0.43943619041628235,0.18184127339085154,0.001624297108248296,0.6849716980945606,0.5002202319776832,0.28203553576390916,0.42356458784088424,0.19575728290394112,0.5370650208266241,0.2541322693252187,0.2510706124095021,0.639029234277982,0.701821209587005,0.5151827877975772,0.5844784108085885,0.1327469965460133,0.5110363855837214,0.7348311783929266,0.3975331680074019,0.029105105622913796,0.5251573474255478,0.4492654349632622,0.36297188675064707,0.5144708830843153,0.2073180622515386,0.5813695410927606,0.6129439883545097,0.4053664327054799,0.675182686133347,0.700216568383585,0.6069140349938709
