Step,train-PAES_features_model_8_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_7_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_6_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_5_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_4_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_3_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_2_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_1_seed12_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_8_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_7_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_2_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_6_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_4_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_5_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_3_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_1_seed32_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low],train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]
0,0.6834520954453852,0.7359514876731055,0.6225079499963486,0.7309819732266092,0.6346891518834878,0.6355046397901849,0.5799659321828234,0.750862300527839,0.6579102966797139,0.7543396327533092,0.6163115972785873,0.7156497612680802,0.6479553409874331,0.6511790800840532,0.6422559258343239,0.773107282834965,0.6776250889686053,0.7361095364924731,0.6090872264981216,0.63002459493457,0.6365333830216271,0.7156364059818077,0.6137171400211329,0.7279317732278865,0.6777091977250858,0.6105188018779,0.6924874153399275,0.734455790418298,0.6276773315231083,0.6448817899566265,0.6563531994325705,0.7834089884204929,0.7438638920998644,0.657749045936741,0.6130294875896201,0.5989240316650464,0.633402628086621,0.7461605443465125,0.6417022569558204,0.765543179560923
1,0.5887290434543053,0.7320826265174047,0.6273241302022312,0.742931668988984,0.5863799049750544,0.6098197469693146,0.5772780875840233,0.757738971627364,0.6503708829665098,0.7163203672754678,0.5974733040520817,0.7469988067818347,0.5916714937205296,0.6469083662968801,0.6013855623776125,0.7235094027968533,0.6721407299884279,0.7493822739327719,0.6256855084411628,0.5627951350345912,0.5560863504586765,0.727672743594556,0.6388020299203107,0.7466385664102633,0.6198755556656952,0.5991954947707161,0.7174633516967002,0.7202906545842804,0.6307459799162292,0.6359051190880274,0.611930485237195,0.7618301654669487,0.7604117280316489,0.604247967254748,0.6196558122183717,0.5292531103517437,0.592895242820815,0.7172292362290287,0.5713142805599916,0.7415141593916474
2,0.5691412819975732,0.7461209162023251,0.6324436392814335,0.7533671894594884,0.5367504717496836,0.6321079311684822,0.5875492064679716,0.713566879169936,0.6293781239900318,0.7048361417861182,0.551720351139694,0.6725354441439277,0.5490335350704993,0.6308586372221415,0.6117232145201236,0.7446747567004885,0.649829388519542,0.7272224922504997,0.5723773384811678,0.511093635086033,0.5590465238440023,0.6614675099629816,0.5145044184291434,0.6580174000786931,0.5967948001205526,0.5972262720513195,0.6942007214337971,0.736863863536128,0.6457500927927338,0.6111695466613096,0.6166902890392689,0.6778436251529036,0.719892645574635,0.5762733427719084,0.5107160735282135,0.4680814038319182,0.5727581212836017,0.6794560023019086,0.5590204943166421,0.6245915547731218
3,0.4749639776253368,0.7345726531735082,0.6150515288746101,0.7452141773464753,0.4163580675588012,0.626154324517668,0.6178665884186451,0.7278128517055783,0.5934412415403583,0.7142817681510037,0.5108532490466168,0.6200818603829823,0.5680665267286424,0.6549591691112344,0.6306445481530609,0.6895040120572997,0.6629848563904475,0.6955100113507378,0.5533119527495368,0.4841896111268805,0.49961197691395565,0.6728361813916883,0.29055995514752253,0.5446162642846994,0.5900920235393884,0.6321279288261686,0.7268478848749087,0.7381367028696192,0.546331395270407,0.6588400955160129,0.6286704673236152,0.6591074848285832,0.7262617808507665,0.5887354230601823,0.42544262974523706,0.4979393580301775,0.5506101328616652,0.6994787590204685,0.5697819696403934,0.6968879797805141
4,0.3950831644385393,0.7326043039079972,0.6495297029608988,0.7582046670730415,0.35143372177622,0.6152197658828873,0.5785759366572953,0.760672829273854,0.5858916753715722,0.7253435645961142,0.47228394006722507,0.6019203457541917,0.5673292314535952,0.6446437628466939,0.6008876496258837,0.6567287815329622,0.6486125764084836,0.6421706377175077,0.5341495351577845,0.47045624532535524,0.5196898732411099,0.5770987282817279,0.28341724980259253,0.602153942499241,0.5692111407017406,0.6618096053503061,0.7253311559342177,0.7375573731598495,0.6126275145064392,0.6631702748656176,0.6209174412914388,0.6742251258462888,0.7054203427986555,0.6806231268657092,0.3613424989890821,0.4809545520485773,0.5214747785622312,0.7048885380628884,0.5615939079392229,0.681246962519918
5,0.4554523005847593,0.7281105982298836,0.6175610753652805,0.7721488886800103,0.37774327338776836,0.6515488918703347,0.5316191923197668,0.6235538097998102,0.5129832599997022,0.6938188515872072,0.45984022005269365,0.6069881262000205,0.5593852275707658,0.6220185344609308,0.6095998867687518,0.5944482954346759,0.5961365310994529,0.5343423156959282,0.5066704442831087,0.40029115865547094,0.46119722656653706,0.5631637018336016,0.2265188983780254,0.49005410586163667,0.5175473007773959,0.6593501944274833,0.7306083244509105,0.7054923076831825,0.6131815262426142,0.6593479913398269,0.5415059082338813,0.718484750884037,0.6330729267183484,0.6471584655590283,0.23900802165992185,0.4677378597491393,0.4970666882907533,0.7003324836219799,0.5470673892850408,0.6035426287190314
6,0.26976985483462523,0.6657671099132301,0.6120228775940972,0.7530204765121692,0.3243717923841728,0.6003608878774613,0.4805753962516346,0.6142876479002416,0.46981200264836576,0.6722351813865196,0.4518759135942829,0.5581274865997595,0.5499316994731265,0.643573946030294,0.6080989777563287,0.6089672094579524,0.5012876985513637,0.33750926177353924,0.5782824609886342,0.44068829120526065,0.5151572228205353,0.5477907902180656,0.15196268000558089,0.394598397314319,0.4964985399407881,0.6516807530457196,0.7277845262973314,0.7057597017006184,0.5997137783902684,0.6750666962377605,0.5995972854053246,0.5444236727197086,0.6255270617678321,0.5991511695372065,0.2623924941360437,0.451571198781325,0.4679529465460497,0.6757236060378198,0.5532045370591308,0.48044873592967063
7,0.2592732637120376,0.6301044274094925,0.6453954210821166,0.7555159833605976,0.30361417035973914,0.649677445227766,0.4760105166814854,0.6127658438235148,0.42339387664851913,0.6668618052088295,0.42723368535155826,0.543462945320991,0.5229858291729231,0.6113192023729621,0.6204068212314828,0.5247403878191719,0.3019783385782353,0.33019669545524855,0.4974320973161749,0.297838527949146,0.5028832091371265,0.5449407321732214,0.021860738258396406,0.2581060301052124,0.28284969091529255,0.6531887048470884,0.6393470708253255,0.6568817700637883,0.2386481224078123,0.682500738821811,0.515669788250242,0.3838504212212751,0.572585635598789,0.5253119509649806,0.12603922649395982,0.43405665101893687,0.459263874143627,0.661419666919919,0.5587078780319841,0.46026600557080677
8,0.31066804887609334,0.5481620444186187,0.6104338562656402,0.7254088168403909,0.18638986569410487,0.5435817416895455,0.2915319518307343,0.5384318187248514,0.34154658586121067,0.6975708745961993,0.33899714931852254,0.5423853893919952,0.5563779316856836,0.4696740896492402,0.6555501824416406,0.49961101704432065,0.3016017160090253,0.30470360110537476,0.4084266666666666,0.2069935654841314,0.5008955019055582,0.5199922363926404,0.0019766902218036897,0.2120091298326462,0.40347326989531906,0.6433378196500672,0.47290939906474827,0.602476925989149,0.22679706152290469,0.6396850442007184,0.408306873414532,0.636112874059871,0.5066724132684022,0.5367352625360998,0.1399037876019973,0.42175425347045437,0.41803100560787754,0.6523668073442357,0.553781652834161,0.44561283692454534
9,0.2361109542355878,0.45205534016027715,0.5644112368734342,0.6751708712860303,0.1732445799020801,0.13570739851550817,0.3250412833997627,0.5218937607880774,0.1435491397344102,0.36061162134028746,0.24131518556619458,0.5203544095495629,0.5498639095619137,0.2507936507936508,0.5950031674954224,0.25977371665169524,0.18949129927033914,0.28986914039248735,0.42745911904676714,0.17589490309210587,0.5049603828215754,0.34067738855751784,0.0031694198029557086,0.3038194144859484,0.2488812046104676,0.5938365037158246,0.061778113888394826,0.618727345380586,0.13032644344577438,0.685001016290958,0.3674620169589178,0.5021580406561759,0.523072374937547,0.5041440798156493,0.085849661448967,0.42663009080406544,0.39732387826600823,0.5884184242865101,0.5479656806560721,0.43030579442357997
