"Step","train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[High]__MAX"
"0","0.7438638920998644","0.7438638920998644","0.7438638920998644","0.657749045936741","0.657749045936741","0.657749045936741","0.6130294875896201","0.6130294875896201","0.6130294875896201","0.5989240316650464","0.5989240316650464","0.5989240316650464","0.633402628086621","0.633402628086621","0.633402628086621","0.7461605443465125","0.7461605443465125","0.7461605443465125","0.6417022569558204","0.6417022569558204","0.6417022569558204","0.765543179560923","0.765543179560923","0.765543179560923"
"1","0.7419840346056308","0.7419840346056308","0.7419840346056308","0.5969811002313761","0.5969811002313761","0.5969811002313761","0.6387562862175478","0.6387562862175478","0.6387562862175478","0.5680948736140684","0.5680948736140684","0.5680948736140684","0.6327018722000708","0.6327018722000708","0.6327018722000708","0.769668660558567","0.769668660558567","0.769668660558567","0.6284823537958811","0.6284823537958811","0.6284823537958811","0.727130997394234","0.727130997394234","0.727130997394234"
"2","0.7418194524267457","0.7418194524267457","0.7418194524267457","0.5690277208348791","0.5690277208348791","0.5690277208348791","0.654107451721617","0.654107451721617","0.654107451721617","0.5686066277385141","0.5686066277385141","0.5686066277385141","0.6064914026346246","0.6064914026346246","0.6064914026346246","0.738496416074079","0.738496416074079","0.738496416074079","0.65814743535338","0.65814743535338","0.65814743535338","0.7089134874261391","0.7089134874261391","0.7089134874261391"
"3","0.7024048263846547","0.7024048263846547","0.7024048263846547","0.5130712549560692","0.5130712549560692","0.5130712549560692","0.6470084834052686","0.6470084834052686","0.6470084834052686","0.612572433275619","0.612572433275619","0.612572433275619","0.6036611743820899","0.6036611743820899","0.6036611743820899","0.7529452139211295","0.7529452139211295","0.7529452139211295","0.6476803677646439","0.6476803677646439","0.6476803677646439","0.6789537843920872","0.6789537843920872","0.6789537843920872"
"4","0.7178767145090323","0.7178767145090323","0.7178767145090323","0.47185989746406787","0.47185989746406787","0.47185989746406787","0.6308475520697021","0.6308475520697021","0.6308475520697021","0.6450269269606193","0.6450269269606193","0.6450269269606193","0.6238405464571313","0.6238405464571313","0.6238405464571313","0.764813867213503","0.764813867213503","0.764813867213503","0.6695452641709515","0.6695452641709515","0.6695452641709515","0.6748543956065154","0.6748543956065154","0.6748543956065154"
"5","0.6674983446305042","0.6674983446305042","0.6674983446305042","0.4633387830267759","0.4633387830267759","0.4633387830267759","0.637811209341671","0.637811209341671","0.637811209341671","0.6613638647037321","0.6613638647037321","0.6613638647037321","0.6220716598243874","0.6220716598243874","0.6220716598243874","0.7346442296299853","0.7346442296299853","0.7346442296299853","0.658478732661548","0.658478732661548","0.658478732661548","0.6634470075293153","0.6634470075293153","0.6634470075293153"
"6","0.6838358018930859","0.6838358018930859","0.6838358018930859","0.4139948188891228","0.4139948188891228","0.4139948188891228","0.607518438855935","0.607518438855935","0.607518438855935","0.6464139307048036","0.6464139307048036","0.6464139307048036","0.6028227446514277","0.6028227446514277","0.6028227446514277","0.7632591852378192","0.7632591852378192","0.7632591852378192","0.6516251353811287","0.6516251353811287","0.6516251353811287","0.6486323695478541","0.6486323695478541","0.6486323695478541"
"7","0.7110268595055598","0.7110268595055598","0.7110268595055598","0.29248086218542735","0.29248086218542735","0.29248086218542735","0.6322472605482543","0.6322472605482543","0.6322472605482543","0.6844248914965061","0.6844248914965061","0.6844248914965061","0.55943799908146","0.55943799908146","0.55943799908146","0.7214107577040925","0.7214107577040925","0.7214107577040925","0.6543959051963948","0.6543959051963948","0.6543959051963948","0.5920167104982998","0.5920167104982998","0.5920167104982998"
"8","0.5854266770295821","0.5854266770295821","0.5854266770295821","0.34171588415697074","0.34171588415697074","0.34171588415697074","0.6292084210255321","0.6292084210255321","0.6292084210255321","0.6294750124998665","0.6294750124998665","0.6294750124998665","0.49614674565178885","0.49614674565178885","0.49614674565178885","0.7213346831472686","0.7213346831472686","0.7213346831472686","0.6688439386144889","0.6688439386144889","0.6688439386144889","0.6500561330389099","0.6500561330389099","0.6500561330389099"
"9","0.5144708830843153","0.5144708830843153","0.5144708830843153","0.2073180622515386","0.2073180622515386","0.2073180622515386","0.5813695410927606","0.5813695410927606","0.5813695410927606","0.6129439883545097","0.6129439883545097","0.6129439883545097","0.4053664327054799","0.4053664327054799","0.4053664327054799","0.675182686133347","0.675182686133347","0.675182686133347","0.700216568383585","0.700216568383585","0.700216568383585","0.6069140349938709","0.6069140349938709","0.6069140349938709"
