"Step","train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]__MAX"
"0","0.7438638920998644","0.7438638920998644","0.7438638920998644","0.657749045936741","0.657749045936741","0.657749045936741","0.6130294875896201","0.6130294875896201","0.6130294875896201","0.5989240316650464","0.5989240316650464","0.5989240316650464","0.633402628086621","0.633402628086621","0.633402628086621","0.7461605443465125","0.7461605443465125","0.7461605443465125","0.6417022569558204","0.6417022569558204","0.6417022569558204","0.765543179560923","0.765543179560923","0.765543179560923"
"1","0.7604117280316489","0.7604117280316489","0.7604117280316489","0.604247967254748","0.604247967254748","0.604247967254748","0.6196558122183717","0.6196558122183717","0.6196558122183717","0.5292531103517437","0.5292531103517437","0.5292531103517437","0.592895242820815","0.592895242820815","0.592895242820815","0.7172292362290287","0.7172292362290287","0.7172292362290287","0.5713142805599916","0.5713142805599916","0.5713142805599916","0.7415141593916474","0.7415141593916474","0.7415141593916474"
"2","0.719892645574635","0.719892645574635","0.719892645574635","0.5762733427719084","0.5762733427719084","0.5762733427719084","0.5107160735282135","0.5107160735282135","0.5107160735282135","0.4680814038319182","0.4680814038319182","0.4680814038319182","0.5727581212836017","0.5727581212836017","0.5727581212836017","0.6794560023019086","0.6794560023019086","0.6794560023019086","0.5590204943166421","0.5590204943166421","0.5590204943166421","0.6245915547731218","0.6245915547731218","0.6245915547731218"
"3","0.7262617808507665","0.7262617808507665","0.7262617808507665","0.5887354230601823","0.5887354230601823","0.5887354230601823","0.42544262974523706","0.42544262974523706","0.42544262974523706","0.4979393580301775","0.4979393580301775","0.4979393580301775","0.5506101328616652","0.5506101328616652","0.5506101328616652","0.6994787590204685","0.6994787590204685","0.6994787590204685","0.5697819696403934","0.5697819696403934","0.5697819696403934","0.6968879797805141","0.6968879797805141","0.6968879797805141"
"4","0.7054203427986555","0.7054203427986555","0.7054203427986555","0.6806231268657092","0.6806231268657092","0.6806231268657092","0.3613424989890821","0.3613424989890821","0.3613424989890821","0.4809545520485773","0.4809545520485773","0.4809545520485773","0.5214747785622312","0.5214747785622312","0.5214747785622312","0.7048885380628884","0.7048885380628884","0.7048885380628884","0.5615939079392229","0.5615939079392229","0.5615939079392229","0.681246962519918","0.681246962519918","0.681246962519918"
"5","0.6330729267183484","0.6330729267183484","0.6330729267183484","0.6471584655590283","0.6471584655590283","0.6471584655590283","0.23900802165992185","0.23900802165992185","0.23900802165992185","0.4677378597491393","0.4677378597491393","0.4677378597491393","0.4970666882907533","0.4970666882907533","0.4970666882907533","0.7003324836219799","0.7003324836219799","0.7003324836219799","0.5470673892850408","0.5470673892850408","0.5470673892850408","0.6035426287190314","0.6035426287190314","0.6035426287190314"
"6","0.6255270617678321","0.6255270617678321","0.6255270617678321","0.5991511695372065","0.5991511695372065","0.5991511695372065","0.2623924941360437","0.2623924941360437","0.2623924941360437","0.451571198781325","0.451571198781325","0.451571198781325","0.4679529465460497","0.4679529465460497","0.4679529465460497","0.6757236060378198","0.6757236060378198","0.6757236060378198","0.5532045370591308","0.5532045370591308","0.5532045370591308","0.48044873592967063","0.48044873592967063","0.48044873592967063"
"7","0.572585635598789","0.572585635598789","0.572585635598789","0.5253119509649806","0.5253119509649806","0.5253119509649806","0.12603922649395982","0.12603922649395982","0.12603922649395982","0.43405665101893687","0.43405665101893687","0.43405665101893687","0.459263874143627","0.459263874143627","0.459263874143627","0.661419666919919","0.661419666919919","0.661419666919919","0.5587078780319841","0.5587078780319841","0.5587078780319841","0.46026600557080677","0.46026600557080677","0.46026600557080677"
"8","0.5066724132684022","0.5066724132684022","0.5066724132684022","0.5367352625360998","0.5367352625360998","0.5367352625360998","0.1399037876019973","0.1399037876019973","0.1399037876019973","0.42175425347045437","0.42175425347045437","0.42175425347045437","0.41803100560787754","0.41803100560787754","0.41803100560787754","0.6523668073442357","0.6523668073442357","0.6523668073442357","0.553781652834161","0.553781652834161","0.553781652834161","0.44561283692454534","0.44561283692454534","0.44561283692454534"
"9","0.523072374937547","0.523072374937547","0.523072374937547","0.5041440798156493","0.5041440798156493","0.5041440798156493","0.085849661448967","0.085849661448967","0.085849661448967","0.42663009080406544","0.42663009080406544","0.42663009080406544","0.39732387826600823","0.39732387826600823","0.39732387826600823","0.5884184242865101","0.5884184242865101","0.5884184242865101","0.5479656806560721","0.5479656806560721","0.5479656806560721","0.43030579442357997","0.43030579442357997","0.43030579442357997"
