"Step","train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.6834520954453852","0.6834520954453852","0.6834520954453852","0.7436543321680054","0.7436543321680054","0.7436543321680054","0.6225079499963486","0.6225079499963486","0.6225079499963486","0.7309819732266092","0.7309819732266092","0.7309819732266092","0.6346891518834878","0.6346891518834878","0.6346891518834878","0.6355046397901849","0.6355046397901849","0.6355046397901849","0.5799659321828234","0.5799659321828234","0.5799659321828234","0.750862300527839","0.750862300527839","0.750862300527839"
"1","0.6060011276617727","0.6060011276617727","0.6060011276617727","0.74199166552671","0.74199166552671","0.74199166552671","0.6244700598689967","0.6244700598689967","0.6244700598689967","0.7359706067313359","0.7359706067313359","0.7359706067313359","0.6271000956767852","0.6271000956767852","0.6271000956767852","0.5972105813329316","0.5972105813329316","0.5972105813329316","0.591377838385437","0.591377838385437","0.591377838385437","0.7725066912796845","0.7725066912796845","0.7725066912796845"
"2","0.5576352802063325","0.5576352802063325","0.5576352802063325","0.7532701014666602","0.7532701014666602","0.7532701014666602","0.6064345338485515","0.6064345338485515","0.6064345338485515","0.7574874186486242","0.7574874186486242","0.7574874186486242","0.4900031636793981","0.4900031636793981","0.4900031636793981","0.6659620878696626","0.6659620878696626","0.6659620878696626","0.6216874074334842","0.6216874074334842","0.6216874074334842","0.7562199919137738","0.7562199919137738","0.7562199919137738"
"3","0.6578987895974708","0.6578987895974708","0.6578987895974708","0.7175540837636064","0.7175540837636064","0.7175540837636064","0.6354998778635851","0.6354998778635851","0.6354998778635851","0.7565683649089765","0.7565683649089765","0.7565683649089765","0.3205773796929732","0.3205773796929732","0.3205773796929732","0.545662569575398","0.545662569575398","0.545662569575398","0.5596497290672859","0.5596497290672859","0.5596497290672859","0.6635876583611362","0.6635876583611362","0.6635876583611362"
"4","0.6446024279908857","0.6446024279908857","0.6446024279908857","0.6744917142004354","0.6744917142004354","0.6744917142004354","0.618170479020693","0.618170479020693","0.618170479020693","0.7601282131593043","0.7601282131593043","0.7601282131593043","0.2914517279162392","0.2914517279162392","0.2914517279162392","0.5290289746507546","0.5290289746507546","0.5290289746507546","0.5988516152051961","0.5988516152051961","0.5988516152051961","0.7426504561863665","0.7426504561863665","0.7426504561863665"
"5","0.6593580661806913","0.6593580661806913","0.6593580661806913","0.6275370396538382","0.6275370396538382","0.6275370396538382","0.6290742053902265","0.6290742053902265","0.6290742053902265","0.7578240643909882","0.7578240643909882","0.7578240643909882","0.3558175820256775","0.3558175820256775","0.3558175820256775","0.4974929891066924","0.4974929891066924","0.4974929891066924","0.5458239390817139","0.5458239390817139","0.5458239390817139","0.6489989586984795","0.6489989586984795","0.6489989586984795"
"6","0.6313568832136366","0.6313568832136366","0.6313568832136366","0.5978363161818286","0.5978363161818286","0.5978363161818286","0.6292586562897078","0.6292586562897078","0.6292586562897078","0.732287803338868","0.732287803338868","0.732287803338868","0.43889308028683816","0.43889308028683816","0.43889308028683816","0.30403904742208365","0.30403904742208365","0.30403904742208365","0.5153554944064436","0.5153554944064436","0.5153554944064436","0.5675260921924132","0.5675260921924132","0.5675260921924132"
"7","0.6101679053360312","0.6101679053360312","0.6101679053360312","0.5633064943315085","0.5633064943315085","0.5633064943315085","0.6289880408181514","0.6289880408181514","0.6289880408181514","0.7638706100661503","0.7638706100661503","0.7638706100661503","0.3024029583079315","0.3024029583079315","0.3024029583079315","0.3163102525372975","0.3163102525372975","0.3163102525372975","0.48895040284512237","0.48895040284512237","0.48895040284512237","0.4910519941715351","0.4910519941715351","0.4910519941715351"
"8","0.4775739422836278","0.4775739422836278","0.4775739422836278","0.49569656296814224","0.49569656296814224","0.49569656296814224","0.6538929898115615","0.6538929898115615","0.6538929898115615","0.7524644623646446","0.7524644623646446","0.7524644623646446","0.23289585152481673","0.23289585152481673","0.23289585152481673","0.13261131167268347","0.13261131167268347","0.13261131167268347","0.4773471904921355","0.4773471904921355","0.4773471904921355","0.5232973883296468","0.5232973883296468","0.5232973883296468"
"9","0.475085197356898","0.475085197356898","0.475085197356898","0.5014450235862791","0.5014450235862791","0.5014450235862791","0.630177437918127","0.630177437918127","0.630177437918127","0.6770823996468762","0.6770823996468762","0.6770823996468762","0.22474530141273696","0.22474530141273696","0.22474530141273696","0.2842228773411948","0.2842228773411948","0.2842228773411948","0.4762898375368566","0.4762898375368566","0.4762898375368566","0.3985061994493805","0.3985061994493805","0.3985061994493805"
