"Step","train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.6834520954453852","0.6834520954453852","0.6834520954453852","0.7436543321680054","0.7436543321680054","0.7436543321680054","0.6225079499963486","0.6225079499963486","0.6225079499963486","0.7309819732266092","0.7309819732266092","0.7309819732266092","0.6346891518834878","0.6346891518834878","0.6346891518834878","0.6355046397901849","0.6355046397901849","0.6355046397901849","0.5799659321828234","0.5799659321828234","0.5799659321828234","0.750862300527839","0.750862300527839","0.750862300527839"
"1","0.6416604986189591","0.6416604986189591","0.6416604986189591","0.7407013861910312","0.7407013861910312","0.7407013861910312","0.5846237363789044","0.5846237363789044","0.5846237363789044","0.7224255030732712","0.7224255030732712","0.7224255030732712","0.6350730170966477","0.6350730170966477","0.6350730170966477","0.6170729412196729","0.6170729412196729","0.6170729412196729","0.585514643720406","0.585514643720406","0.585514643720406","0.7190399469185251","0.7190399469185251","0.7190399469185251"
"2","0.5415630254669632","0.5415630254669632","0.5415630254669632","0.748692620471595","0.748692620471595","0.748692620471595","0.5403300530623312","0.5403300530623312","0.5403300530623312","0.6758667466673622","0.6758667466673622","0.6758667466673622","0.6414903713534503","0.6414903713534503","0.6414903713534503","0.61799437764961","0.61799437764961","0.61799437764961","0.630064308681672","0.630064308681672","0.630064308681672","0.6737381099096911","0.6737381099096911","0.6737381099096911"
"3","0.39990829873066513","0.39990829873066513","0.39990829873066513","0.7426145726305309","0.7426145726305309","0.7426145726305309","0.4683900141562284","0.4683900141562284","0.4683900141562284","0.6589389560532208","0.6589389560532208","0.6589389560532208","0.6046968600597133","0.6046968600597133","0.6046968600597133","0.6204867456922224","0.6204867456922224","0.6204867456922224","0.5866395889050502","0.5866395889050502","0.5866395889050502","0.6395544997004072","0.6395544997004072","0.6395544997004072"
"4","0.44128049076849984","0.44128049076849984","0.44128049076849984","0.7370245340743624","0.7370245340743624","0.7370245340743624","0.4733035091345026","0.4733035091345026","0.4733035091345026","0.5468868119831913","0.5468868119831913","0.5468868119831913","0.6593218078338532","0.6593218078338532","0.6593218078338532","0.6037301223083471","0.6037301223083471","0.6037301223083471","0.6014592419395628","0.6014592419395628","0.6014592419395628","0.5971485330212427","0.5971485330212427","0.5971485330212427"
"5","0.4381667872434917","0.4381667872434917","0.4381667872434917","0.7510227975167294","0.7510227975167294","0.7510227975167294","0.4388929337278342","0.4388929337278342","0.4388929337278342","0.5259526921268913","0.5259526921268913","0.5259526921268913","0.6508711008537317","0.6508711008537317","0.6508711008537317","0.609717270078293","0.609717270078293","0.609717270078293","0.5464741072197756","0.5464741072197756","0.5464741072197756","0.5086068640954342","0.5086068640954342","0.5086068640954342"
"6","0.35023275206952054","0.35023275206952054","0.35023275206952054","0.6727486423693428","0.6727486423693428","0.6727486423693428","0.42527976268455225","0.42527976268455225","0.42527976268455225","0.549872490288182","0.549872490288182","0.549872490288182","0.5933737244298721","0.5933737244298721","0.5933737244298721","0.545119300336141","0.545119300336141","0.545119300336141","0.4671803379389585","0.4671803379389585","0.4671803379389585","0.3709437637771056","0.3709437637771056","0.3709437637771056"
"7","0.3113096157185592","0.3113096157185592","0.3113096157185592","0.6614708201764172","0.6614708201764172","0.6614708201764172","0.4319142201911277","0.4319142201911277","0.4319142201911277","0.5420252007573285","0.5420252007573285","0.5420252007573285","0.6294539837461028","0.6294539837461028","0.6294539837461028","0.5707624717073749","0.5707624717073749","0.5707624717073749","0.5159393622192034","0.5159393622192034","0.5159393622192034","0.34469074575015635","0.34469074575015635","0.34469074575015635"
"8","0.30050918233708446","0.30050918233708446","0.30050918233708446","0.6274237156747995","0.6274237156747995","0.6274237156747995","0.41267752402522406","0.41267752402522406","0.41267752402522406","0.5585941185346996","0.5585941185346996","0.5585941185346996","0.6346045170057362","0.6346045170057362","0.6346045170057362","0.4822040796034487","0.4822040796034487","0.4822040796034487","0.4603296540765879","0.4603296540765879","0.4603296540765879","0.3094696532269976","0.3094696532269976","0.3094696532269976"
"9","0.3449543613077438","0.3449543613077438","0.3449543613077438","0.48998371284751274","0.48998371284751274","0.48998371284751274","0.3739012446287062","0.3739012446287062","0.3739012446287062","0.5251843927857536","0.5251843927857536","0.5251843927857536","0.6313222578257833","0.6313222578257833","0.6313222578257833","0.4556213174392971","0.4556213174392971","0.4556213174392971","0.2459508167034704","0.2459508167034704","0.2459508167034704","0.302124191386423","0.302124191386423","0.302124191386423"
